cell_id,epithelial_refinement_cluster,original_Tier_A,original_Tier_B,refined_Tier_A,refined_Tier_B
aafkhbfo-1,4,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aafldopk-1,12,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aafmbcka-1,15,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aafmlhio-1,15,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aafnbpij-1,16,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aafnmopl-1,11,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aafnpnbm-1,4,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aafoanbf-1,23,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic acinar epithelium,acinar epithelial
aafogodn-1,11,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aafopiio-1,13,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aafpmhbi-1,11,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aagabgea-1,15,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aagaohmi-1,15,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aagbadck-1,14,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aagcijmh-1,0,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aagdbgmf-1,2,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
