annotation_version,sample_id,cluster_key,leiden,n_cells,fraction,top_marker_genes,suggested_Tier_A,suggested_Tier_B,annotation_score,annotation_note,final_Tier_A,final_Tier_B,notes
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_io_v1,xenium_graphclust,1,31701,0.1369409142353581,"CEACAM6, EPCAM, CXCL5, CEACAM8, CEACAM1, SDC1, IFNGR1, MET",pancreatic ductal epithelium,proliferative ductal/tumor epithelial,1.6202330691869051,best marker program: ductal_epithelial_score_z,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_io_v1,xenium_graphclust,10,12742,0.0550424633035845,"IL7R, CD2, CD3E, FCMR, CD8A, TCF7, CD3D, IGKC",T cells,Tregs,2.3,best marker program: top_marker_rule_6_hits,T cells,Tregs,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_io_v1,xenium_graphclust,11,11138,0.0481135580187823,"IGHM, MS4A1, TNFRSF13C, FCMR, CXCL13, BANK1, CD74, CD79A",B lineage,B cells,2.710705444858968,ambiguous: top_marker_rule_4_hits close to second-best,B lineage,B cells,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_io_v1,xenium_graphclust,12,10826,0.0467657909060278,"SPARC, FN1, LUM, ACTA2, IGFBP7, CEACAM6, CXCL5, VCAN",Fibroblasts,activated fibroblast/stellate,2.0,best marker program: top_marker_rule_5_hits,Fibroblasts,activated fibroblast/stellate,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_io_v1,xenium_graphclust,13,7825,0.0338021719785394,"G0S2, IL1B, S100A9, ITGAX, CXCL1, PLEK, CD44, EGR3",Myeloid cells,inflammatory myeloid,2.4,best marker program: top_marker_rule_3_hits,Myeloid cells,inflammatory myeloid,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_io_v1,xenium_graphclust,14,6026,0.0260309122482656,"PLVAP, FLT1, IGFBP7, RGS5, SPARCL1, SPARC, A2M, FN1",Endothelial cells,endothelial/perivascular,3.008297875597452,ambiguous: top_marker_rule_2_hits close to second-best,Endothelial cells,endothelial/perivascular,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_io_v1,xenium_graphclust,15,5854,0.0252879124296958,"CD163, CD74, MPEG1, CSF1R, TNFRSF1B, FCGR2A, C1QB, CXCL12",Myeloid cells,myeloid/macrophage,2.4,best marker program: top_marker_rule_4_hits,Myeloid cells,myeloid/macrophage,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_io_v1,xenium_graphclust,16,5878,0.0253915868229846,"CXCL12, A2M, C1R, C1S, IL1R1, DCN, PDGFRA, SPARCL1",Fibroblasts,activated fibroblast/stellate,2.0,best marker program: top_marker_rule_2_hits,Fibroblasts,activated fibroblast/stellate,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_io_v1,xenium_graphclust,17,4561,0.0197024544912611,"XBP1, TFF3, EPCAM, SSR4, PRDX4, IGKC, SOX9, JCHAIN",pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,1.2358626954394494,best marker program: ductal_epithelial_score_z; vetoed unsupported top_marker_rule_2_hits; curated graphclust override; curated graphclust override; curated graphclust override,Submucosa,submucosa,"Manual Xenium Explorer review: 10x graphclust 17 is submucosa, not pancreatic ductal epithelium."
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_io_v1,xenium_graphclust,18,1030,0.0044493593786448,"IGHGP, IGHG1, IGHG2, IGHG3, JCHAIN, IGHG4, IGKC, IGHM",B lineage,plasma-like B lineage,4.265687474826665,ambiguous: top_marker_rule_7_hits close to second-best,B lineage,plasma-like B lineage,
