cell_id,epithelial_refinement_cluster,original_Tier_A,original_Tier_B,refined_Tier_A,refined_Tier_B
ahkdenpg-1,12,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkdhjln-1,2,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkdmlgl-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkfaoap-1,0,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkfhehn-1,8,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkfhfma-1,10,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkfijek-1,14,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkhblma-1,9,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkifpoh-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkihkbk-1,17,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkijgki-1,14,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
