phenotype,n_cells,n_with_fiber,median_distance_px,mean_distance_px,imageid,pathology,fiber_type,median_distance_um,mean_distance_um
Monocytes,10119,10026,43.686715163426214,49.220615865630954,JRP122,RA,MFAP5,14.19818242811352,15.99670015633006
Neutrophils,384,353,48.49155860380004,54.499716443509364,JRP122,RA,MFAP5,15.759756546235012,17.712407844140543
Plasma cells,5695,5556,52.800337830068024,58.7846308046655,JRP122,RA,MFAP5,17.160109794772108,19.105005011516287
T cells,302,293,41.70323239570526,49.01682080619707,JRP122,RA,MFAP5,13.553550528604209,15.930466762014047
Vascular cells,4936,4917,53.912424338868895,57.666721448055775,JRP122,RA,MFAP5,17.52153791013239,18.74168447061813
B cells,7367,7005,45.1477826843435,53.47518402105301,JRP141,RA,COL6A1,14.673029372411637,17.37943480684223
CD4 T cells,19229,18666,38.94207509299346,45.60238513620474,JRP141,RA,COL6A1,12.656174405222876,14.82077516926654
CD8 T cells,9574,9291,37.51754645653593,43.5575976486713,JRP141,RA,COL6A1,12.193202598374178,14.156219235818172
Dendritic cells,29013,27528,40.55672523352453,48.75345824692526,JRP141,RA,COL6A1,13.180935700895473,15.844873930250712
MERTK+ Macrophages,3249,3151,39.51491336230082,47.12129712055397,JRP141,RA,COL6A1,12.842346842747766,15.31442156418004
Macrophages,17433,16953,39.10043657415564,45.99647432603886,JRP141,RA,COL6A1,12.707641886600582,14.948854155962628
Monocytes,33258,33166,33.06854865181041,37.11390883954823,JRP141,RA,COL6A1,10.747278311838384,12.062020372853175
Neutrophils,6360,6046,40.50557234080139,47.93741444680199,JRP141,RA,COL6A1,13.164311010760454,15.579659695210646
Plasma cells,6501,6029,35.35014620241266,40.99045850821721,JRP141,RA,COL6A1,11.488797515784114,13.321899015170594
T cells,3482,3301,44.92846520036858,51.93316706585255,JRP141,RA,COL6A1,14.601751190119789,16.87827929640208
Vascular cells,4539,4515,37.747345273456595,41.12379759404319,JRP141,RA,COL6A1,12.267887213873394,13.365234218064037
B cells,7367,3032,99.67071881202057,96.64022005028053,JRP141,RA,COL4A1,32.39298361390669,31.408071516341174
CD4 T cells,19229,11550,86.44078002880866,87.26299968451768,JRP141,RA,COL4A1,28.093253509362814,28.360474897468247
CD8 T cells,9574,5646,80.7588442816934,83.16816856909725,JRP141,RA,COL4A1,26.246624391550355,27.029654784956605
Dendritic cells,29013,11924,91.73102291738692,90.66272613669162,JRP141,RA,COL4A1,29.81258244815075,29.465385994424775
MERTK+ Macrophages,3249,564,106.10607758343858,102.10326077825665,JRP141,RA,COL4A1,34.48447521461754,33.18355975293341
Macrophages,17433,4409,103.55056874722631,99.51453039702771,JRP141,RA,COL4A1,33.65393484284855,32.342222379034006
Monocytes,33258,15589,93.37249407241268,92.4446022407575,JRP141,RA,COL4A1,30.34606057353412,30.04449572824619
Neutrophils,6360,2593,77.76895133240644,78.11601891360732,JRP141,RA,COL4A1,25.274909183032097,25.38770614692238
Plasma cells,6501,3570,101.14647055842264,98.3747170531067,JRP141,RA,COL4A1,32.87260293148736,31.97178304225968
T cells,3482,1295,70.28858282065677,74.77986489014408,JRP141,RA,COL4A1,22.843789416713452,24.303456089296827
