radius,K,L,L_minus_r,radius_um,imageid,pathology,phenotype,fiber_type,cell_fiber_pair
30.769230769230766,17631.745255723712,74.91567810259083,44.146447333360065,10.0,JRP141,RA,Macrophages,CHP,Macrophages vs CHP
61.53846153846153,67870.1426966899,146.98209890003952,85.44363736157798,20.0,JRP141,RA,Macrophages,CHP,Macrophages vs CHP
92.3076923076923,149815.29547047432,218.37511224907854,126.06741994138623,30.0,JRP141,RA,Macrophages,CHP,Macrophages vs CHP
123.07692307692307,259890.99011159874,287.621055353421,164.54413227649795,40.0,JRP141,RA,Macrophages,CHP,Macrophages vs CHP
153.84615384615384,400321.64697822015,356.9682589342432,203.12210508808934,50.0,JRP141,RA,Macrophages,CHP,Macrophages vs CHP
30.769230769230766,233092.88187731948,272.38900253244685,241.61977176321608,10.0,JRP141,RA,Vascular cells,COL4A1,Vascular cells vs COL4A1
61.53846153846153,543327.6863005139,415.86845755216746,354.3299960137059,20.0,JRP141,RA,Vascular cells,COL4A1,Vascular cells vs COL4A1
92.3076923076923,882964.3236783247,530.1474072127443,437.83971490505195,30.0,JRP141,RA,Vascular cells,COL4A1,Vascular cells vs COL4A1
123.07692307692307,1250790.3472909739,630.9825140889199,507.90559101199676,40.0,JRP141,RA,Vascular cells,COL4A1,Vascular cells vs COL4A1
153.84615384615384,1635742.1808204872,721.576681582072,567.7305277359181,50.0,JRP141,RA,Vascular cells,COL4A1,Vascular cells vs COL4A1
30.769230769230766,13112.876815838721,64.6061787044528,33.836947935222035,10.0,JRP144,OA,Monocytes,COL6A1,Monocytes vs COL6A1
61.53846153846153,47577.42164469663,123.06243808994525,61.52397655148371,20.0,JRP144,OA,Monocytes,COL6A1,Monocytes vs COL6A1
92.3076923076923,101683.73826592328,179.9081408779725,87.6004485702802,30.0,JRP144,OA,Monocytes,COL6A1,Monocytes vs COL6A1
123.07692307692307,174413.82145536854,235.62182338726257,112.5449003103395,40.0,JRP144,OA,Monocytes,COL6A1,Monocytes vs COL6A1
153.84615384615384,263220.4546781459,289.45754951261205,135.6113956664582,50.0,JRP144,OA,Monocytes,COL6A1,Monocytes vs COL6A1
30.769230769230766,10251.913418056718,57.12517302615118,26.355942256920414,10.0,JRP144,OA,Macrophages,COL6A1,Macrophages vs COL6A1
61.53846153846153,35266.24835548042,105.95091080383531,44.41244926537378,20.0,JRP144,OA,Macrophages,COL6A1,Macrophages vs COL6A1
92.3076923076923,73958.14624951377,153.43275111607323,61.12505880838093,30.0,JRP144,OA,Macrophages,COL6A1,Macrophages vs COL6A1
123.07692307692307,125647.48423196662,199.98709059626057,76.9101675193375,40.0,JRP144,OA,Macrophages,COL6A1,Macrophages vs COL6A1
153.84615384615384,189992.11460227703,245.9194347237902,92.07328087763636,50.0,JRP144,OA,Macrophages,COL6A1,Macrophages vs COL6A1
