imageid,pathology,COL6A1_region,fiber_type,feature,morans_i
JRP144,OA,COL6A1-poor,MFAP5,minor_axis_length,-0.007815430188346703
JRP144,OA,COL6A1-poor,MFAP5,eccentricity,0.026417866473471056
S00292623,OA,COL6A1-rich,COL6A1,alignment_score,0.13362447470345748
S00292623,OA,COL6A1-rich,COL6A1,area,0.003236507236676896
S00292623,OA,COL6A1-rich,COL6A1,major_axis_length,-0.00979407079205255
S00292623,OA,COL6A1-rich,COL6A1,minor_axis_length,0.007575773843511405
S00292623,OA,COL6A1-rich,COL6A1,eccentricity,0.022786653774410942
S00292623,OA,COL6A1-rich,COL4A1,alignment_score,-0.10501368318958147
S00292623,OA,COL6A1-rich,COL4A1,area,-0.08548043692507433
S00292623,OA,COL6A1-rich,COL4A1,major_axis_length,-0.06922474191314537
S00292623,OA,COL6A1-rich,COL4A1,minor_axis_length,-0.12497940469850592
S00292623,OA,COL6A1-rich,COL4A1,eccentricity,-0.1073281525151471
S00292623,OA,COL6A1-rich,CHP,alignment_score,0.18764398451188918
S00292623,OA,COL6A1-rich,CHP,area,0.04920375414585398
S00292623,OA,COL6A1-rich,CHP,major_axis_length,-0.019876656417277757
S00292623,OA,COL6A1-rich,CHP,minor_axis_length,0.012839333917100395
S00292623,OA,COL6A1-rich,CHP,eccentricity,-0.04997983100080571
S00292623,OA,COL6A1-rich,FN,alignment_score,0.2165444054132151
S00292623,OA,COL6A1-rich,FN,area,0.012925963332696626
S00292623,OA,COL6A1-rich,FN,major_axis_length,0.0023389069576809332
S00292623,OA,COL6A1-rich,FN,minor_axis_length,0.03417060242157634
S00292623,OA,COL6A1-rich,FN,eccentricity,-0.029118700440154043
S00292623,OA,COL6A1-rich,COL1A1bis,alignment_score,0.04588587542900544
S00292623,OA,COL6A1-rich,COL1A1bis,area,-0.005453783422975293
S00292623,OA,COL6A1-rich,COL1A1bis,major_axis_length,-0.035692157448688575
S00292623,OA,COL6A1-rich,COL1A1bis,minor_axis_length,0.13451600746436287
S00292623,OA,COL6A1-rich,COL1A1bis,eccentricity,0.09356897666791623
S00292623,OA,COL6A1-rich,MFAP5,alignment_score,0.2396335048576227
S00292623,OA,COL6A1-rich,MFAP5,area,-0.004246319258924012
S00292623,OA,COL6A1-rich,MFAP5,major_axis_length,-0.021080177815950434
S00292623,OA,COL6A1-rich,MFAP5,minor_axis_length,-0.013318135001106046
S00292623,OA,COL6A1-rich,MFAP5,eccentricity,-0.032503177517615264
S00292623,OA,COL6A1-poor,COL6A1,alignment_score,0.3240262384907481
S00292623,OA,COL6A1-poor,COL6A1,area,-0.003028287014338003
S00292623,OA,COL6A1-poor,COL6A1,major_axis_length,-0.022336253348530524
S00292623,OA,COL6A1-poor,COL6A1,minor_axis_length,-0.020442343358901462
S00292623,OA,COL6A1-poor,COL6A1,eccentricity,0.01991520943496714
S00292623,OA,COL6A1-poor,COL4A1,alignment_score,0.3573316168634504
S00292623,OA,COL6A1-poor,COL4A1,area,-0.00026325279773265056
S00292623,OA,COL6A1-poor,COL4A1,major_axis_length,0.02896710132802902
S00292623,OA,COL6A1-poor,COL4A1,minor_axis_length,0.010101591188439863
S00292623,OA,COL6A1-poor,COL4A1,eccentricity,0.06261796543184357
S00292623,OA,COL6A1-poor,CHP,alignment_score,0.3623670164335936
S00292623,OA,COL6A1-poor,CHP,area,-0.01491296123333461
S00292623,OA,COL6A1-poor,CHP,major_axis_length,-0.007007088200583727
S00292623,OA,COL6A1-poor,CHP,minor_axis_length,-0.01737806174685553
S00292623,OA,COL6A1-poor,CHP,eccentricity,0.02048399600662911
S00292623,OA,COL6A1-poor,FN,alignment_score,0.3053803875745655
S00292623,OA,COL6A1-poor,FN,area,0.0016319215292672972
S00292623,OA,COL6A1-poor,FN,major_axis_length,-0.009813400232897463
S00292623,OA,COL6A1-poor,FN,minor_axis_length,0.005641666059063059
S00292623,OA,COL6A1-poor,FN,eccentricity,0.03678111774902784
S00292623,OA,COL6A1-poor,COL1A1bis,alignment_score,0.36284669365327665
S00292623,OA,COL6A1-poor,COL1A1bis,area,0.0018927003227764202
S00292623,OA,COL6A1-poor,COL1A1bis,major_axis_length,0.018807620885174778
S00292623,OA,COL6A1-poor,COL1A1bis,minor_axis_length,0.009767894472649918
S00292623,OA,COL6A1-poor,COL1A1bis,eccentricity,0.03177736903506452
S00292623,OA,COL6A1-poor,MFAP5,alignment_score,0.37314871501285546
S00292623,OA,COL6A1-poor,MFAP5,area,-0.003974489334557827
S00292623,OA,COL6A1-poor,MFAP5,major_axis_length,-0.01755824709432199
S00292623,OA,COL6A1-poor,MFAP5,minor_axis_length,-0.014986348214931696
S00292623,OA,COL6A1-poor,MFAP5,eccentricity,0.025996708547800156
S00293087,OA,COL6A1-rich,COL6A1,alignment_score,0.24963570138898958
S00293087,OA,COL6A1-rich,COL6A1,area,-0.005629184252678767
S00293087,OA,COL6A1-rich,COL6A1,major_axis_length,-0.0002777712853635934
S00293087,OA,COL6A1-rich,COL6A1,minor_axis_length,-0.0002321166036440094
S00293087,OA,COL6A1-rich,COL6A1,eccentricity,0.008584171663564752
S00293087,OA,COL6A1-rich,COL4A1,alignment_score,
S00293087,OA,COL6A1-rich,COL4A1,area,-0.12500000000000003
S00293087,OA,COL6A1-rich,COL4A1,major_axis_length,-0.12499999999999996
S00293087,OA,COL6A1-rich,COL4A1,minor_axis_length,-0.12499999999999994
S00293087,OA,COL6A1-rich,COL4A1,eccentricity,-0.12500000000000003
S00293087,OA,COL6A1-rich,CHP,alignment_score,0.19649049783384626
S00293087,OA,COL6A1-rich,CHP,area,-0.0507264300892352
S00293087,OA,COL6A1-rich,CHP,major_axis_length,-0.014785945979831459
S00293087,OA,COL6A1-rich,CHP,minor_axis_length,-0.05776001633092594
S00293087,OA,COL6A1-rich,CHP,eccentricity,0.00431453310399063
S00293087,OA,COL6A1-rich,FN,alignment_score,0.5159659645440604
S00293087,OA,COL6A1-rich,FN,area,-0.0019587061453057424
S00293087,OA,COL6A1-rich,FN,major_axis_length,-0.0048348314913955175
S00293087,OA,COL6A1-rich,FN,minor_axis_length,-0.03483269691880516
S00293087,OA,COL6A1-rich,FN,eccentricity,-0.05148354943460306
S00293087,OA,COL6A1-rich,COL1A1bis,alignment_score,0.2327778568079465
S00293087,OA,COL6A1-rich,COL1A1bis,area,-0.006706467646025589
S00293087,OA,COL6A1-rich,COL1A1bis,major_axis_length,-0.011059635719417175
S00293087,OA,COL6A1-rich,COL1A1bis,minor_axis_length,-0.015408189916087838
S00293087,OA,COL6A1-rich,COL1A1bis,eccentricity,0.02220795416228856
S00293087,OA,COL6A1-rich,MFAP5,alignment_score,0.05715345306862302
S00293087,OA,COL6A1-rich,MFAP5,area,-0.0505042068015795
S00293087,OA,COL6A1-rich,MFAP5,major_axis_length,-0.039875364611302665
S00293087,OA,COL6A1-rich,MFAP5,minor_axis_length,-0.06570399227761767
S00293087,OA,COL6A1-rich,MFAP5,eccentricity,0.0178816898887137
S00293087,OA,COL6A1-poor,COL6A1,alignment_score,0.30712068065545306
S00293087,OA,COL6A1-poor,COL6A1,area,-0.015863300398139015
S00293087,OA,COL6A1-poor,COL6A1,major_axis_length,-0.02368428193183863
S00293087,OA,COL6A1-poor,COL6A1,minor_axis_length,-0.02678585672866727
S00293087,OA,COL6A1-poor,COL6A1,eccentricity,0.03705865792501536
S00293087,OA,COL6A1-poor,COL4A1,alignment_score,0.32602313429775936
S00293087,OA,COL6A1-poor,COL4A1,area,0.02335286160974694
S00293087,OA,COL6A1-poor,COL4A1,major_axis_length,0.020765439621135064
S00293087,OA,COL6A1-poor,COL4A1,minor_axis_length,0.0221716160588811
S00293087,OA,COL6A1-poor,COL4A1,eccentricity,0.0481857129495364
S00293087,OA,COL6A1-poor,CHP,alignment_score,0.328001880054352
S00293087,OA,COL6A1-poor,CHP,area,0.00937448007750436
S00293087,OA,COL6A1-poor,CHP,major_axis_length,0.012388771498315075
S00293087,OA,COL6A1-poor,CHP,minor_axis_length,0.006534409686167266
S00293087,OA,COL6A1-poor,CHP,eccentricity,0.031026225765372905
S00293087,OA,COL6A1-poor,FN,alignment_score,0.310645192426333
S00293087,OA,COL6A1-poor,FN,area,0.06734091875379397
S00293087,OA,COL6A1-poor,FN,major_axis_length,0.04170982270343204
S00293087,OA,COL6A1-poor,FN,minor_axis_length,0.05964508351228652
S00293087,OA,COL6A1-poor,FN,eccentricity,0.03885749595610947
S00293087,OA,COL6A1-poor,COL1A1bis,alignment_score,0.30145062367500247
S00293087,OA,COL6A1-poor,COL1A1bis,area,-0.0031627698830162484
S00293087,OA,COL6A1-poor,COL1A1bis,major_axis_length,0.002084234279185189
S00293087,OA,COL6A1-poor,COL1A1bis,minor_axis_length,-0.0008110371656883163
S00293087,OA,COL6A1-poor,COL1A1bis,eccentricity,0.0388905536472038
S00293087,OA,COL6A1-poor,MFAP5,alignment_score,0.3108796674342476
S00293087,OA,COL6A1-poor,MFAP5,area,-0.009657926583315681
S00293087,OA,COL6A1-poor,MFAP5,major_axis_length,-0.017290393646953457
S00293087,OA,COL6A1-poor,MFAP5,minor_axis_length,-0.014039286004549819
S00293087,OA,COL6A1-poor,MFAP5,eccentricity,0.03648378350309601
