phenotype,n_cells,n_with_fiber,median_density,mean_density,imageid,pathology,fiber_type
T cells,3482,3355,6.724296345632579e-05,7.30312698188256e-05,JRP141,RA,CHP
Vascular cells,4539,4491,8.069155614759094e-05,8.222477357309256e-05,JRP141,RA,CHP
B cells,7367,6169,8.069155614759094e-05,8.915006476197071e-05,JRP141,RA,FN
CD4 T cells,19229,18365,9.41401488388561e-05,0.0001013019912848443,JRP141,RA,FN
CD8 T cells,9574,9295,0.00010758874153012126,0.00011092376101945598,JRP141,RA,FN
Dendritic cells,29013,28046,0.00010758874153012126,0.00010660812496969778,JRP141,RA,FN
MERTK+ Macrophages,3249,3167,9.41401488388561e-05,9.983042803250791e-05,JRP141,RA,FN
Macrophages,17433,17146,0.00010758874153012126,0.0001124666604585581,JRP141,RA,FN
Monocytes,33258,32958,0.00013448592691265158,0.00013639398017511762,JRP141,RA,FN
Neutrophils,6360,6168,9.41401488388561e-05,0.00010179982882011655,JRP141,RA,FN
Plasma cells,6501,6363,0.00012103733422138642,0.00012246398832583465,JRP141,RA,FN
T cells,3482,3405,9.41401488388561e-05,9.533689585367352e-05,JRP141,RA,FN
Vascular cells,4539,4452,9.41401488388561e-05,0.0001020757851820622,JRP141,RA,FN
B cells,7367,5863,6.724296345632579e-05,7.813166710726144e-05,JRP141,RA,COL1A1bis
CD4 T cells,19229,18102,0.00010758874153012126,0.0001039751101716905,JRP141,RA,COL1A1bis
CD8 T cells,9574,8773,9.41401488388561e-05,0.00010185856491095459,JRP141,RA,COL1A1bis
Dendritic cells,29013,25238,9.41401488388561e-05,9.407780295784818e-05,JRP141,RA,COL1A1bis
MERTK+ Macrophages,3249,2584,8.069155614759094e-05,9.128804791207077e-05,JRP141,RA,COL1A1bis
Macrophages,17433,13923,6.724296345632579e-05,8.388684054195315e-05,JRP141,RA,COL1A1bis
Monocytes,33258,29544,0.00010758874153012126,0.00010851827125783461,JRP141,RA,COL1A1bis
Neutrophils,6360,5408,9.41401488388561e-05,9.222034233781011e-05,JRP141,RA,COL1A1bis
Plasma cells,6501,5620,9.41401488388561e-05,9.772484489784457e-05,JRP141,RA,COL1A1bis
T cells,3482,2847,6.724296345632579e-05,8.148042688150078e-05,JRP141,RA,COL1A1bis
Vascular cells,4539,4495,0.00010758874153012126,0.00010641591653902538,JRP141,RA,COL1A1bis
B cells,7367,4384,5.379437076506063e-05,5.798171771386924e-05,JRP141,RA,MFAP5
CD4 T cells,19229,14193,5.379437076506063e-05,7.15344223655585e-05,JRP141,RA,MFAP5
CD8 T cells,9574,7569,6.724296345632579e-05,7.836927967150645e-05,JRP141,RA,MFAP5
Dendritic cells,29013,21608,5.379437076506063e-05,7.301313667183482e-05,JRP141,RA,MFAP5
MERTK+ Macrophages,3249,2886,6.724296345632579e-05,7.415831742508444e-05,JRP141,RA,MFAP5
Macrophages,17433,15320,6.724296345632579e-05,8.174760425513611e-05,JRP141,RA,MFAP5
Monocytes,33258,29639,9.41401488388561e-05,0.00010593120554371176,JRP141,RA,MFAP5
Neutrophils,6360,4902,6.724296345632579e-05,7.21812471862885e-05,JRP141,RA,MFAP5
Plasma cells,6501,5899,9.41401488388561e-05,0.0001041713079915204,JRP141,RA,MFAP5
T cells,3482,2935,5.379437076506063e-05,7.04458821245351e-05,JRP141,RA,MFAP5
Vascular cells,4539,3830,6.724296345632579e-05,7.152684937886978e-05,JRP141,RA,MFAP5
B cells,1651,906,5.379437076506063e-05,6.066710632362108e-05,JRP144,OA,COL6A1
CD4 T cells,1760,1672,0.00013448592691265158,0.00012608859989729222,JRP144,OA,COL6A1
CD8 T cells,662,654,0.00013448592691265158,0.00013341661984851428,JRP144,OA,COL6A1
Dendritic cells,710,671,0.00013448592691265158,0.00012931493300155408,JRP144,OA,COL6A1
MERTK+ Macrophages,1389,1279,9.41401488388561e-05,8.976593886265101e-05,JRP144,OA,COL6A1
Macrophages,6912,6538,9.41401488388561e-05,9.366292744020613e-05,JRP144,OA,COL6A1
Monocytes,13090,13019,0.00012103733422138642,0.000123398766197132,JRP144,OA,COL6A1
Neutrophils,1037,990,8.069155614759094e-05,9.404505777942293e-05,JRP144,OA,COL6A1
Plasma cells,193,192,0.00013448592691265158,0.00013420574789825023,JRP144,OA,COL6A1
T cells,641,501,0.00010758874153012126,0.00010927988192842407,JRP144,OA,COL6A1
Vascular cells,6556,6476,0.00012103733422138642,0.00012116816518796297,JRP144,OA,COL6A1
B cells,1651,115,2.6897185382530314e-05,2.4792188265636637e-05,JRP144,OA,COL4A1
CD4 T cells,1760,1248,2.6897185382530314e-05,3.255464625025003e-05,JRP144,OA,COL4A1
CD8 T cells,662,421,2.6897185382530314e-05,2.9356904235802088e-05,JRP144,OA,COL4A1
Dendritic cells,710,417,2.6897185382530314e-05,2.6639178808117554e-05,JRP144,OA,COL4A1
MERTK+ Macrophages,1389,121,1.3448592691265157e-05,1.8338990033543397e-05,JRP144,OA,COL4A1
Macrophages,6912,1264,1.3448592691265157e-05,2.0045212524005978e-05,JRP144,OA,COL4A1
Monocytes,13090,5354,2.6897185382530314e-05,2.5776887971192197e-05,JRP144,OA,COL4A1
Neutrophils,1037,398,2.6897185382530314e-05,2.5275244555443056e-05,JRP144,OA,COL4A1
Plasma cells,193,106,2.6897185382530314e-05,2.727780593039631e-05,JRP144,OA,COL4A1
T cells,641,398,4.034577807379547e-05,3.730463902300687e-05,JRP144,OA,COL4A1
Vascular cells,6556,6113,2.6897185382530314e-05,2.9783583813896236e-05,JRP144,OA,COL4A1
B cells,1651,1646,5.379437076506063e-05,6.060037180505083e-05,JRP144,OA,CHP
CD4 T cells,1760,1690,8.069155614759094e-05,8.403380995252074e-05,JRP144,OA,CHP
CD8 T cells,662,653,9.41401488388561e-05,9.521109343295379e-05,JRP144,OA,CHP
Dendritic cells,710,676,8.069155614759094e-05,9.075810629815333e-05,JRP144,OA,CHP
MERTK+ Macrophages,1389,1184,2.6897185382530314e-05,3.5563803814485816e-05,JRP144,OA,CHP
Macrophages,6912,6225,4.034577807379547e-05,4.47703110588093e-05,JRP144,OA,CHP
Monocytes,13090,12658,6.724296345632579e-05,7.095306660673643e-05,JRP144,OA,CHP
Neutrophils,1037,964,5.379437076506063e-05,5.486858408168658e-05,JRP144,OA,CHP
Plasma cells,193,192,8.069155614759094e-05,8.59449126676164e-05,JRP144,OA,CHP
T cells,641,606,4.034577807379547e-05,4.702568962506744e-05,JRP144,OA,CHP
Vascular cells,6556,6519,6.724296345632579e-05,7.713290874884384e-05,JRP144,OA,CHP
B cells,1651,1590,6.724296345632579e-05,6.849478214708505e-05,JRP144,OA,FN
CD4 T cells,1760,1552,0.00010758874153012126,0.00010422659335730497,JRP144,OA,FN
CD8 T cells,662,568,0.00012103733422138642,0.00011308182868570843,JRP144,OA,FN
Dendritic cells,710,619,0.00010758874153012126,0.00010839261540665892,JRP144,OA,FN
MERTK+ Macrophages,1389,1324,9.41401488388561e-05,9.191564596922842e-05,JRP144,OA,FN
Macrophages,6912,6096,8.069155614759094e-05,8.283371223407692e-05,JRP144,OA,FN
Monocytes,13090,12797,0.00012103733422138642,0.00012681527925667406,JRP144,OA,FN
Neutrophils,1037,958,9.41401488388561e-05,9.90815941700934e-05,JRP144,OA,FN
Plasma cells,193,180,0.00013448592691265158,0.00012634205689405212,JRP144,OA,FN
T cells,641,604,6.724296345632579e-05,8.104781025861784e-05,JRP144,OA,FN
Vascular cells,6556,6277,0.00010758874153012126,0.00010939702769093499,JRP144,OA,FN
B cells,1651,348,1.3448592691265157e-05,3.6674466850605274e-05,JRP144,OA,COL1A1bis
CD4 T cells,1760,1548,6.724296345632579e-05,7.015335011754919e-05,JRP144,OA,COL1A1bis
CD8 T cells,662,589,6.724296345632579e-05,7.86822587675717e-05,JRP144,OA,COL1A1bis
Dendritic cells,710,577,5.379437076506063e-05,6.349040986309582e-05,JRP144,OA,COL1A1bis
MERTK+ Macrophages,1389,195,1.3448592691265157e-05,2.2759156862141034e-05,JRP144,OA,COL1A1bis
Macrophages,6912,2057,1.3448592691265157e-05,2.460235989170189e-05,JRP144,OA,COL1A1bis
Monocytes,13090,8044,4.034577807379547e-05,5.2216117221978295e-05,JRP144,OA,COL1A1bis
Neutrophils,1037,729,5.379437076506063e-05,5.4975042825747825e-05,JRP144,OA,COL1A1bis
Plasma cells,193,158,8.069155614759094e-05,7.405237747721954e-05,JRP144,OA,COL1A1bis
T cells,641,493,6.724296345632579e-05,7.228959560213522e-05,JRP144,OA,COL1A1bis
Vascular cells,6556,6476,6.724296345632579e-05,6.894584270383001e-05,JRP144,OA,COL1A1bis
B cells,1651,1216,4.034577807379547e-05,4.984605860158887e-05,JRP144,OA,MFAP5
CD4 T cells,1760,1729,9.41401488388561e-05,9.503464748518085e-05,JRP144,OA,MFAP5
CD8 T cells,662,653,9.41401488388561e-05,9.451086042912068e-05,JRP144,OA,MFAP5
Dendritic cells,710,674,9.41401488388561e-05,9.222462228342367e-05,JRP144,OA,MFAP5
MERTK+ Macrophages,1389,1335,4.034577807379547e-05,4.217921917477694e-05,JRP144,OA,MFAP5
Macrophages,6912,6637,4.034577807379547e-05,5.279945453613021e-05,JRP144,OA,MFAP5
Monocytes,13090,12858,6.724296345632579e-05,8.058173329546908e-05,JRP144,OA,MFAP5
Neutrophils,1037,984,6.724296345632579e-05,7.234085479153098e-05,JRP144,OA,MFAP5
Plasma cells,193,189,8.069155614759094e-05,8.360897572611936e-05,JRP144,OA,MFAP5
T cells,641,636,8.069155614759094e-05,8.223518392504749e-05,JRP144,OA,MFAP5
Vascular cells,6556,6517,8.069155614759094e-05,8.713829599222994e-05,JRP144,OA,MFAP5
B cells,4111,4104,0.00012103733422138642,0.0001225906073538571,S00292623,OA,COL6A1
CD4 T cells,3565,3522,0.00012103733422138642,0.00011733725292728195,S00292623,OA,COL6A1
CD8 T cells,3363,3340,0.00012103733422138642,0.00011893951482253937,S00292623,OA,COL6A1
Dendritic cells,2508,2409,0.00012103733422138642,0.0001242808511801349,S00292623,OA,COL6A1
MERTK+ Macrophages,4,3,0.00010758874153012126,8.96572846084344e-05,S00292623,OA,COL6A1
Macrophages,7047,6927,9.41401488388561e-05,9.241223668421108e-05,S00292623,OA,COL6A1
Monocytes,61147,59937,9.41401488388561e-05,0.00010057196740660416,S00292623,OA,COL6A1
