imageid,pathology,phenotype,fiber_type,n_links,median_distance_px,mean_distance_px,median_distance_um,mean_distance_um
JRP122,RA,Other Immune cells,COL6A1,2974,106.74103909693153,100.84533837250193,34.69083770650275,32.774734971063125
JRP122,RA,Other Immune cells,FN,2400,109.85653161419762,103.21455603027039,35.70337277461423,33.54473070983788
JRP122,RA,Other Immune cells,MFAP5,2179,109.6776153860529,103.49281654106545,35.64522500046719,33.63516537584627
JRP122,RA,Plasma cells,CHP,41568,103.47945354236654,98.48457984010992,33.63082240126913,32.00748844803572
JRP122,RA,Plasma cells,COL1A1bis,23094,108.32249389203739,102.51059331871905,35.204810514912154,33.315942828583694
JRP122,RA,Plasma cells,COL4A1,6341,110.646444176489,105.37602050999192,35.960094357358926,34.24720666574738
JRP122,RA,Plasma cells,COL6A1,57671,107.33503705479929,101.56292407709003,34.88388704280977,33.00795032505426
JRP122,RA,Plasma cells,FN,45026,108.94937817044541,102.91157320902535,35.40854790539476,33.44626129293324
JRP122,RA,Plasma cells,MFAP5,37618,110.15177552134162,104.11464296431355,35.799327044436026,33.8372589634019
JRP122,RA,T cells,CHP,1065,108.50530410935235,102.613361183679,35.26422383553952,33.349342384695674
JRP122,RA,T cells,COL1A1bis,294,109.04707833285846,104.22342611137735,35.440300458179,33.87261348619764
JRP122,RA,T cells,COL4A1,70,109.32791263275789,95.05610932950711,35.53157160564631,30.89323553208981
JRP122,RA,T cells,COL6A1,2330,108.2869596999149,101.87484484750263,35.193261902472344,33.10932457543836
JRP122,RA,T cells,FN,1969,106.78333548456966,100.60871817184359,34.704584032485144,32.69783340584917
JRP122,RA,T cells,MFAP5,2539,106.83036558350233,101.31423214369299,34.71986881463826,32.927125446700224
JRP122,RA,Vascular cells,CHP,24581,110.30913052668579,103.27732883088714,35.85046742117289,33.56513187003832
JRP122,RA,Vascular cells,COL1A1bis,19917,100.62582828714068,95.23590306401384,32.70339419332072,30.951668495804498
JRP122,RA,Vascular cells,COL4A1,10471,73.88929267602572,76.29876625513313,24.01402011970836,24.79709903291827
JRP122,RA,Vascular cells,COL6A1,42573,110.37038719854831,103.82590280763134,35.8703758395282,33.74341841248019
JRP122,RA,Vascular cells,FN,42579,110.74524595931354,104.54623586401165,35.9922049367769,33.977526655803786
JRP122,RA,Vascular cells,MFAP5,35661,111.626966112188,105.83647940942481,36.2787639864611,34.396855808063066
JRP141,RA,B cells,CHP,68077,107.08008600718682,101.19580551710408,34.801027952335716,32.88863679305883
JRP141,RA,B cells,COL1A1bis,34062,109.52478312302028,103.36564170968786,35.59555451498159,33.59383355564856
JRP141,RA,B cells,COL4A1,5081,112.3839397526109,106.05591528332721,36.52478041959854,34.468172467081345
JRP141,RA,B cells,COL6A1,57612,109.87477013365981,103.43628105046517,35.70930029343944,33.61679134140118
JRP141,RA,B cells,FN,40894,110.9874500443108,104.4245086569093,36.070921264401015,33.937965313495525
JRP141,RA,B cells,MFAP5,18901,114.08279753243143,106.97935263881017,37.07690919804021,34.768289607613305
JRP141,RA,CD4 T cells,CHP,133710,106.5705671586104,100.76668847517881,34.635434326548385,32.749173754433116
JRP141,RA,CD4 T cells,COL1A1bis,139952,107.79426865463336,101.90007663643624,35.03313731275584,33.11752490684178
JRP141,RA,CD4 T cells,COL4A1,22529,106.44406546483688,101.75185649529159,34.59432127607199,33.06935336096977
