,annotation,annotation_level2,annotated_clusters_update3
exp_30810,stroma-fib,stroma-fib,myCAFs
exp_30811,stroma-fib,stroma-fib,myCAFs
exp_30812,stroma-fib,stroma-fib,myCAFs
exp_30813,tumour,tumour,tumour
exp_30814,stroma-fib,stroma-fib,myCAFs
exp_30815,tumour,tumour,tumour
exp_30816,stroma-fib,stroma-fib,myCAFs
exp_30817,stroma-fib,stroma-fib,myCAFs
exp_30818,tumour,tumour,tumour
exp_30819,stroma-fib,stroma-fib,myCAFs
exp_30820,stroma-fib,stroma-fib,myCAFs
exp_30821,stroma-immune,vessel,vessel
exp_30822,tumour,tumour,tumour
exp_30823,tumour,tumour,tumour
exp_30824,tumour,tumour,tumour
exp_30825,tumour,tumour,tumour
exp_30826,tumour,tumour,tumour
exp_30827,stroma-immune,vessel,vessel
exp_30828,tumour,tumour,tumour
exp_30829,stroma-fib,stroma-fib,myCAFs
exp_30830,tumour,tumour,tumour
exp_30831,tumour,tumour,tumour
exp_30832,tumour,tumour,tumour
exp_30833,tumour,tumour,tumour
exp_30834,tumour,tumour,tumour
exp_30835,tumour,tumour,tumour
exp_30836,stroma-fib,stroma-fib,myCAFs
exp_30837,stroma-fib,stroma-fib,myCAFs
exp_30838,stroma-fib,stroma-fib,myCAFs
exp_30839,tumour,tumour,tumour
exp_30840,tumour,tumour,tumour
exp_30841,tumour,tumour,tumour
exp_30842,stroma-fib,stroma-fib,myCAFs
exp_30843,tumour,tumour,tumour
exp_30844,tumour,tumour,tumour
exp_30845,tumour,tumour,tumour
exp_30846,tumour,tumour,tumour
exp_30847,tumour,tumour,tumour
exp_30848,tumour,tumour,tumour
exp_30849,tumour,tumour,tumour
exp_30850,stroma-fib,stroma-immune,other immune cells
exp_30851,stroma-fib,stroma-immune,other immune cells
exp_30852,tumour,tumour,tumour
exp_30853,stroma-fib,stroma-fib,myCAFs
exp_30854,stroma-fib,stroma-fib,myCAFs
exp_30855,tumour,tumour,tumour
exp_30856,tumour,tumour,tumour
exp_30857,stroma-immune,stroma-immune,other immune cells
exp_30858,tumour,tumour,tumour
exp_30859,tumour,tumour,tumour
exp_30860,stroma-fib,stroma-immune,Macrophages
exp_30861,tumour,tumour,tumour
exp_30862,tumour,tumour,tumour
exp_30863,tumour,tumour,tumour
exp_30864,tumour,tumour,tumour
exp_30865,tumour,tumour,tumour
exp_30866,tumour,tumour,tumour
exp_30867,stroma-fib,stroma-immune,other immune cells
exp_30868,stroma-fib,stroma-fib,myCAFs
exp_30869,tumour,tumour,tumour
exp_30870,tumour,tumour,tumour
exp_30871,stroma-fib,stroma-fib,myCAFs
exp_30872,tumour,tumour,tumour
exp_30873,tumour,tumour,tumour
exp_30874,stroma-immune,stroma-immune,Unknown
exp_30875,tumour,tumour,tumour
exp_30876,stroma-fib,stroma-fib,myCAFs
exp_30877,tumour,tumour,tumour
exp_30878,tumour,tumour,tumour
exp_30879,stroma-fib,stroma-fib,myCAFs
exp_30880,tumour,tumour,tumour
exp_30881,tumour,tumour,tumour
exp_30882,stroma-immune,stroma-immune,Unknown
exp_30883,tumour,tumour,tumour
exp_30884,tumour,tumour,tumour
exp_30885,tumour,tumour,tumour
exp_30886,stroma-fib,stroma-fib,PDPN+ CAFs
exp_30887,stroma-immune,stroma-immune,other immune cells
