,annotated_clusters_update3,svm_prediction
exp_7881,myCAFs,myCAFs
exp_7882,other immune cells,other immune cells
exp_7883,myCAFs,other immune cells
exp_7884,Monocytes,Monocytes
exp_7885,CD4 T cells,vessel
exp_7886,vessel,vessel
exp_7887,tumour,tumour
exp_7888,Unknown,myCAFs
exp_7889,myCAFs,myCAFs
exp_7890,myCAFs,CD4 T cells
exp_7891,tumour,tumour
exp_7892,tumour,tumour
exp_7893,T cells,T cells
exp_7894,tumour,tumour
exp_7895,tumour,tumour
exp_7896,Unknown,myCAFs
exp_7897,myCAFs,myCAFs
exp_7898,myCAFs,myCAFs
exp_7899,vessel,vessel
exp_7900,tumour,tumour
exp_7901,tumour,tumour
exp_7902,tumour,tumour
exp_7903,Unknown,myCAFs
exp_7904,tumour,tumour
exp_7905,Dendritic cells,Dendritic cells
exp_7906,tumour,tumour
exp_7907,myCAFs,myCAFs
exp_7908,Unknown,tumour
exp_7909,tumour,other immune cells
exp_7910,myCAFs,CD4 T cells
exp_7911,tumour,CD4 T cells
exp_7912,tumour,tumour
exp_7913,other immune cells,other immune cells
exp_7914,tumour,tumour
exp_7915,tumour,tumour
exp_7916,tumour,T cells
exp_7917,vessel,vessel
exp_7918,vessel,vessel
exp_7919,Unknown,other immune cells
exp_7920,vessel,vessel
exp_7921,Unknown,other immune cells
exp_7922,tumour,tumour
exp_7923,tumour,tumour
exp_7924,tumour,other immune cells
exp_7925,tumour,tumour
exp_7926,tumour,tumour
exp_7927,tumour,tumour
exp_7928,tumour,tumour
exp_7929,CD4 T cells,CD4 T cells
exp_7930,tumour,myCAFs
exp_7931,T cells,T cells
exp_7932,myCAFs,myCAFs
exp_7933,other immune cells,vessel
exp_7934,tumour,tumour
exp_7935,other immune cells,other immune cells
exp_7936,Unknown,myCAFs
exp_7937,tumour,tumour
exp_7938,myCAFs,myCAFs
exp_7939,myCAFs,Monocytes
exp_7940,vessel,vessel
exp_7941,other immune cells,other immune cells
exp_7942,tumour,tumour
exp_7943,tumour,tumour
exp_7944,tumour,tumour
exp_7945,Unknown,other immune cells
exp_7946,CD4 T cells,CD4 T cells
exp_7947,other immune cells,Monocytes
exp_7948,Monocytes,Monocytes
exp_7949,Unknown,myCAFs
exp_7950,tumour,T cells
exp_7951,tumour,tumour
exp_7952,other immune cells,other immune cells
exp_7953,tumour,tumour
exp_7954,myCAFs,T cells
exp_7955,tumour,tumour
exp_7956,myCAFs,myCAFs
exp_7957,Monocytes,Monocytes
exp_7958,tumour,PDPN+ CAFs
exp_7959,tumour,PDPN+ CAFs
exp_7960,CD90+ CAFs,CD90+ CAFs
exp_7961,CD90+ CAFs,CD90+ CAFs
exp_7962,tumour,tumour
exp_7963,tumour,myCAFs
exp_7964,myCAFs,Monocytes
exp_7965,tumour,tumour
exp_7966,tumour,tumour
exp_7967,tumour,tumour
exp_7968,myCAFs,myCAFs
exp_7969,myCAFs,myCAFs
exp_7970,tumour,tumour
exp_7971,tumour,tumour
exp_7972,tumour,tumour
exp_7973,other immune cells,vessel
exp_7974,tumour,tumour
exp_7975,tumour,tumour
exp_7976,Unknown,vessel
exp_7977,tumour,tumour
exp_7978,Unknown,vessel
exp_7979,other immune cells,other immune cells
exp_7980,tumour,tumour
exp_7981,tumour,tumour
exp_7982,vessel,vessel
exp_7983,vessel,vessel
exp_7984,Unknown,vessel
exp_7985,tumour,CD4 T cells
exp_7986,tumour,tumour
exp_7987,CD4 T cells,CD4 T cells
exp_7988,myCAFs,myCAFs
exp_7989,CD4 T cells,CD4 T cells
exp_7990,Unknown,myCAFs
exp_7991,Monocytes,Monocytes
exp_7992,Unknown,myCAFs
exp_7993,other immune cells,other immune cells
exp_7994,tumour,other immune cells
exp_7995,vessel,vessel
exp_7996,vessel,T cells
exp_7997,Unknown,myCAFs
exp_7998,myCAFs,myCAFs
exp_7999,myCAFs,myCAFs
exp_8000,tumour,tumour
exp_8001,tumour,tumour
exp_8002,other immune cells,other immune cells
exp_8003,tumour,tumour
exp_8004,myCAFs,myCAFs
exp_8005,other immune cells,other immune cells
exp_8006,T cells,T cells
exp_8007,Unknown,vessel
exp_8008,tumour,Macrophages
exp_8009,tumour,tumour
exp_8010,myCAFs,myCAFs
exp_8011,tumour,tumour
exp_8012,myCAFs,myCAFs
exp_8013,other immune cells,other immune cells
exp_8014,myCAFs,myCAFs
exp_8015,T cells,T cells
exp_8016,myCAFs,tumour
exp_8017,tumour,tumour
exp_8018,tumour,tumour
exp_8019,other immune cells,other immune cells
exp_8020,tumour,tumour
exp_8021,Macrophages,Macrophages
exp_8022,tumour,tumour
exp_8023,tumour,tumour
exp_8024,myCAFs,myCAFs
exp_8025,myCAFs,myCAFs
exp_8026,other immune cells,other immune cells
exp_8027,Unknown,other immune cells
exp_8028,other immune cells,myCAFs
exp_8029,tumour,PDPN+ CAFs
exp_8030,tumour,tumour
exp_8031,tumour,tumour
exp_8032,tumour,tumour
exp_8033,tumour,tumour
exp_8034,vessel,vessel
exp_8035,other immune cells,other immune cells
exp_8036,myCAFs,myCAFs
exp_8037,other immune cells,other immune cells
exp_8038,other immune cells,other immune cells
exp_8039,CD4 T cells,CD4 T cells
exp_8040,T cells,T cells
exp_8041,Unknown,myCAFs
exp_8042,tumour,Monocytes
exp_8043,CD4 T cells,CD4 T cells
exp_8044,vessel,vessel
exp_8045,Monocytes,Monocytes
exp_8046,myCAFs,myCAFs
exp_8047,tumour,tumour
exp_8048,myCAFs,myCAFs
exp_8049,CD90+ CAFs,CD90+ CAFs
exp_8050,other immune cells,other immune cells
exp_8051,CD4 T cells,CD4 T cells
exp_8052,vessel,vessel
exp_8053,vessel,vessel
exp_8054,tumour,CD4 T cells
exp_8055,myCAFs,myCAFs
exp_8056,myCAFs,myCAFs
exp_8057,myCAFs,myCAFs
exp_8058,myCAFs,myCAFs
exp_8059,myCAFs,myCAFs
exp_8060,vessel,vessel
exp_8061,Monocytes,Monocytes
exp_8062,myCAFs,myCAFs
exp_8063,tumour,tumour
exp_8064,other immune cells,other immune cells
exp_8065,tumour,Monocytes
exp_8066,vessel,vessel
exp_8067,other immune cells,PDPN+ CAFs
exp_8068,Unknown,myCAFs
exp_8069,tumour,tumour
exp_8070,myCAFs,myCAFs
exp_8071,myCAFs,myCAFs
exp_8072,CD4 T cells,vessel
exp_8073,tumour,tumour
exp_8074,other immune cells,other immune cells
exp_8075,Unknown,vessel
exp_8076,myCAFs,CD4 T cells
exp_8077,tumour,tumour
exp_8078,myCAFs,myCAFs
exp_8079,T cells,T cells
exp_8080,Unknown,myCAFs
exp_8081,Unknown,vessel
exp_8082,myCAFs,myCAFs
exp_8083,tumour,tumour
exp_8084,tumour,tumour
exp_8085,tumour,tumour
exp_8086,vessel,vessel
exp_8087,other immune cells,other immune cells
exp_8088,Monocytes,Monocytes
exp_8089,tumour,tumour
exp_8090,Unknown,myCAFs
exp_8091,myCAFs,myCAFs
exp_8092,other immune cells,myCAFs
exp_8093,Unknown,vessel
exp_8094,myCAFs,myCAFs
exp_8095,tumour,tumour
exp_8096,tumour,other immune cells
exp_8097,tumour,tumour
exp_8098,other immune cells,Dendritic cells
exp_8099,other immune cells,other immune cells
exp_8100,vessel,vessel
exp_8101,T cells,T cells
exp_8102,vessel,vessel
exp_8103,other immune cells,other immune cells
exp_8104,myCAFs,myCAFs
exp_8105,myCAFs,myCAFs
exp_8106,myCAFs,myCAFs
exp_8107,tumour,tumour
exp_8108,Unknown,other immune cells
exp_8109,myCAFs,myCAFs
exp_8110,tumour,tumour
exp_8111,tumour,other immune cells
exp_8112,T cells,T cells
exp_8113,other immune cells,T cells
exp_8114,myCAFs,myCAFs
exp_8115,tumour,tumour
exp_8116,tumour,tumour
exp_8117,tumour,tumour
exp_8118,CD4 T cells,CD4 T cells
exp_8119,other immune cells,other immune cells
exp_8120,CD4 T cells,CD4 T cells
exp_8121,T cells,T cells
exp_8122,Unknown,myCAFs
exp_8123,Monocytes,Monocytes
exp_8124,tumour,tumour
exp_8125,other immune cells,other immune cells
exp_8126,Monocytes,Monocytes
exp_8127,CD4 T cells,CD4 T cells
exp_8128,tumour,T cells
exp_8129,Unknown,CD90+ CAFs
exp_8130,other immune cells,other immune cells
exp_8131,Macrophages,Macrophages
exp_8132,tumour,other immune cells
exp_8133,Monocytes,Monocytes
exp_8134,vessel,vessel
exp_8135,other immune cells,other immune cells
exp_8136,other immune cells,other immune cells
exp_8137,T cells,T cells
exp_8138,vessel,Monocytes
exp_8139,Unknown,myCAFs
exp_8140,tumour,PDPN+ CAFs
exp_8141,tumour,tumour
exp_8142,Macrophages,Macrophages
exp_8143,CD4 T cells,CD4 T cells
exp_8144,vessel,vessel
exp_8145,other immune cells,other immune cells
exp_8146,vessel,vessel
exp_8147,tumour,tumour
exp_8148,tumour,tumour
exp_8149,myCAFs,CD4 T cells
exp_8150,myCAFs,myCAFs
exp_8151,myCAFs,myCAFs
exp_8152,tumour,tumour
exp_8153,other immune cells,other immune cells
exp_8154,other immune cells,other immune cells
exp_8155,myCAFs,myCAFs
exp_8156,other immune cells,Monocytes
exp_8157,tumour,tumour
exp_8158,tumour,tumour
exp_8159,vessel,vessel
exp_8160,tumour,tumour
exp_8161,Monocytes,Monocytes
exp_8162,myCAFs,myCAFs
exp_8163,other immune cells,other immune cells
exp_8164,Unknown,vessel
exp_8165,CD4 T cells,CD4 T cells
exp_8166,T cells,T cells
exp_8167,Unknown,vessel
exp_8168,tumour,tumour
exp_8169,tumour,other immune cells
exp_8170,tumour,other immune cells
exp_8171,tumour,tumour
exp_8172,other immune cells,other immune cells
exp_8173,other immune cells,other immune cells
exp_8174,Monocytes,Monocytes
exp_8175,Unknown,myCAFs
exp_8176,CD4 T cells,CD4 T cells
exp_8177,Monocytes,Monocytes
exp_8178,other immune cells,other immune cells
exp_8179,tumour,T cells
exp_8180,tumour,tumour
exp_8181,tumour,other immune cells
exp_8182,myCAFs,myCAFs
exp_8183,myCAFs,other immune cells
exp_8184,tumour,CD90+ CAFs
exp_8185,other immune cells,other immune cells
exp_8186,myCAFs,myCAFs
exp_8187,Unknown,myCAFs
exp_8188,Unknown,other immune cells
exp_8189,PDPN+ CAFs,PDPN+ CAFs
exp_8190,tumour,tumour
exp_8191,tumour,tumour
exp_8192,tumour,tumour
exp_8193,tumour,tumour
exp_8194,Unknown,Monocytes
exp_8195,Unknown,other immune cells
exp_8196,T cells,T cells
exp_8197,Monocytes,Monocytes
exp_8198,Unknown,myCAFs
exp_8199,tumour,other immune cells
exp_8200,tumour,other immune cells
exp_8201,other immune cells,other immune cells
exp_8202,other immune cells,other immune cells
exp_8203,Macrophages,Macrophages
exp_8204,Monocytes,Monocytes
exp_8205,CD4 T cells,CD4 T cells
exp_8206,other immune cells,other immune cells
exp_8207,myCAFs,myCAFs
exp_8208,Monocytes,Monocytes
exp_8209,PDPN+ CAFs,PDPN+ CAFs
exp_8210,other immune cells,T cells
exp_8211,tumour,other immune cells
exp_8212,CD90+ CAFs,CD90+ CAFs
exp_8213,tumour,tumour
exp_8214,other immune cells,other immune cells
exp_8215,other immune cells,other immune cells
exp_8216,other immune cells,other immune cells
exp_8217,other immune cells,other immune cells
exp_8218,other immune cells,other immune cells
exp_8219,other immune cells,other immune cells
exp_8220,tumour,tumour
exp_8221,Unknown,myCAFs
exp_8222,T cells,T cells
exp_8223,other immune cells,other immune cells
exp_8224,tumour,tumour
exp_8225,other immune cells,Monocytes
exp_8226,Monocytes,Monocytes
exp_8227,CD4 T cells,CD4 T cells
exp_8228,myCAFs,myCAFs
exp_8229,tumour,PDPN+ CAFs
exp_8230,CD90+ CAFs,CD90+ CAFs
exp_8231,tumour,tumour
exp_8232,other immune cells,other immune cells
exp_8233,Unknown,PDPN+ CAFs
exp_8234,myCAFs,Monocytes
exp_8235,tumour,tumour
exp_8236,Unknown,myCAFs
exp_8237,myCAFs,myCAFs
exp_8238,CD4 T cells,CD4 T cells
exp_8239,tumour,PDPN+ CAFs
exp_8240,other immune cells,other immune cells
exp_8241,other immune cells,other immune cells
exp_8242,myCAFs,myCAFs
exp_8243,tumour,tumour
exp_8244,Monocytes,Monocytes
exp_8245,other immune cells,other immune cells
exp_8246,CD4 T cells,CD4 T cells
exp_8247,tumour,tumour
exp_8248,myCAFs,myCAFs
exp_8249,other immune cells,other immune cells
exp_8250,Monocytes,Monocytes
exp_8251,tumour,tumour
exp_8252,other immune cells,other immune cells
exp_8253,CD4 T cells,CD4 T cells
exp_8254,vessel,CD4 T cells
exp_8255,tumour,tumour
exp_8256,myCAFs,myCAFs
exp_8257,Unknown,other immune cells
exp_8258,myCAFs,myCAFs
exp_8259,other immune cells,T cells
exp_8260,CD4 T cells,CD4 T cells
exp_8261,tumour,PDPN+ CAFs
exp_8262,tumour,myCAFs
exp_8263,Unknown,other immune cells
exp_8264,other immune cells,myCAFs
exp_8265,tumour,other immune cells
exp_8266,Monocytes,Monocytes
exp_8267,other immune cells,other immune cells
exp_8268,Macrophages,Macrophages
exp_8269,other immune cells,PDPN+ CAFs
exp_8270,tumour,tumour
exp_8271,other immune cells,other immune cells
exp_8272,vessel,vessel
exp_8273,other immune cells,other immune cells
exp_8274,myCAFs,T cells
exp_8275,vessel,vessel
exp_8276,myCAFs,myCAFs
exp_8277,Monocytes,Monocytes
exp_8278,tumour,other immune cells
exp_8279,tumour,PDPN+ CAFs
exp_8280,CD90+ CAFs,CD90+ CAFs
exp_8281,tumour,tumour
exp_8282,tumour,tumour
exp_8283,tumour,tumour
exp_8284,myCAFs,myCAFs
exp_8285,other immune cells,other immune cells
exp_8286,other immune cells,other immune cells
exp_8287,Unknown,PDPN+ CAFs
exp_8288,Monocytes,Monocytes
exp_8289,tumour,tumour
exp_8290,Unknown,PDPN+ CAFs
exp_8291,other immune cells,PDPN+ CAFs
exp_8292,myCAFs,myCAFs
exp_8293,other immune cells,other immune cells
exp_8294,tumour,tumour
exp_8295,other immune cells,other immune cells
exp_8296,other immune cells,other immune cells
exp_8297,other immune cells,other immune cells
exp_8298,T cells,T cells
exp_8299,myCAFs,myCAFs
exp_8300,other immune cells,PDPN+ CAFs
exp_8301,Unknown,vessel
exp_8302,T cells,T cells
exp_8303,tumour,T cells
exp_8304,tumour,tumour
exp_8305,tumour,PDPN+ CAFs
exp_8306,tumour,tumour
exp_8307,other immune cells,PDPN+ CAFs
exp_8308,CD4 T cells,CD4 T cells
exp_8309,myCAFs,Monocytes
exp_8310,myCAFs,myCAFs
exp_8311,Monocytes,Monocytes
exp_8312,Unknown,CD90+ CAFs
exp_8313,myCAFs,T cells
exp_8314,tumour,tumour
exp_8315,tumour,tumour
exp_8316,vessel,other immune cells
exp_8317,tumour,other immune cells
exp_8318,Macrophages,Macrophages
exp_8319,other immune cells,other immune cells
exp_8320,Monocytes,Monocytes
exp_8321,tumour,tumour
exp_8322,Monocytes,Monocytes
exp_8323,CD4 T cells,CD4 T cells
exp_8324,other immune cells,CD4 T cells
exp_8325,tumour,tumour
exp_8326,myCAFs,myCAFs
exp_8327,tumour,PDPN+ CAFs
exp_8328,tumour,tumour
exp_8329,tumour,tumour
exp_8330,other immune cells,other immune cells
exp_8331,other immune cells,T cells
exp_8332,other immune cells,Monocytes
exp_8333,myCAFs,T cells
exp_8334,Monocytes,Monocytes
exp_8335,Unknown,PDPN+ CAFs
exp_8336,tumour,PDPN+ CAFs
exp_8337,myCAFs,myCAFs
exp_8338,tumour,tumour
exp_8339,tumour,PDPN+ CAFs
exp_8340,other immune cells,other immune cells
exp_8341,PDPN+ CAFs,PDPN+ CAFs
exp_8342,T cells,T cells
exp_8343,Unknown,other immune cells
exp_8344,vessel,vessel
exp_8345,Unknown,myCAFs
exp_8346,tumour,PDPN+ CAFs
exp_8347,tumour,tumour
exp_8348,vessel,vessel
exp_8349,tumour,tumour
exp_8350,other immune cells,other immune cells
exp_8351,other immune cells,other immune cells
exp_8352,Monocytes,Monocytes
exp_8353,tumour,tumour
exp_8354,vessel,vessel
exp_8355,myCAFs,myCAFs
exp_8356,Macrophages,Macrophages
exp_8357,CD4 T cells,CD4 T cells
exp_8358,other immune cells,other immune cells
exp_8359,Macrophages,Macrophages
exp_8360,CD4 T cells,CD4 T cells
exp_8361,vessel,vessel
exp_8362,myCAFs,myCAFs
exp_8363,myCAFs,myCAFs
exp_8364,tumour,tumour
exp_8365,vessel,vessel
exp_8366,other immune cells,other immune cells
exp_8367,other immune cells,other immune cells
exp_8368,other immune cells,other immune cells
exp_8369,T cells,T cells
exp_8370,tumour,tumour
exp_8371,tumour,tumour
exp_8372,myCAFs,T cells
exp_8373,vessel,vessel
exp_8374,Unknown,other immune cells
exp_8375,tumour,tumour
exp_8376,vessel,other immune cells
exp_8377,other immune cells,CD4 T cells
exp_8378,other immune cells,other immune cells
exp_8379,Monocytes,Monocytes
exp_8380,other immune cells,other immune cells
exp_8381,PDPN+ CAFs,PDPN+ CAFs
exp_8382,other immune cells,other immune cells
exp_8383,Unknown,PDPN+ CAFs
exp_8384,T cells,T cells
exp_8385,myCAFs,myCAFs
exp_8386,tumour,other immune cells
exp_8387,other immune cells,other immune cells
exp_8388,Monocytes,Monocytes
exp_8389,PDPN+ CAFs,PDPN+ CAFs
exp_8390,Unknown,myCAFs
exp_8391,tumour,tumour
exp_8392,tumour,Monocytes
exp_8393,myCAFs,myCAFs
exp_8394,tumour,tumour
exp_8395,other immune cells,other immune cells
exp_8396,tumour,CD4 T cells
exp_8397,CD4 T cells,CD4 T cells
exp_8398,other immune cells,Monocytes
exp_8399,tumour,tumour
exp_8400,other immune cells,other immune cells
exp_8401,myCAFs,T cells
exp_8402,T cells,T cells
exp_8403,Macrophages,Macrophages
exp_8404,tumour,other immune cells
exp_8405,myCAFs,myCAFs
exp_8406,PDPN+ CAFs,PDPN+ CAFs
exp_8407,tumour,tumour
exp_8408,Monocytes,Monocytes
exp_8409,Monocytes,Macrophages
exp_8410,tumour,tumour
exp_8411,other immune cells,other immune cells
exp_8412,T cells,T cells
exp_8413,other immune cells,myCAFs
exp_8414,tumour,tumour
exp_8415,tumour,tumour
exp_8416,other immune cells,other immune cells
exp_8417,Unknown,PDPN+ CAFs
exp_8418,tumour,CD4 T cells
exp_8419,myCAFs,myCAFs
exp_8420,CD4 T cells,CD4 T cells
exp_8421,myCAFs,myCAFs
exp_8422,other immune cells,other immune cells
exp_8423,Unknown,PDPN+ CAFs
exp_8424,tumour,tumour
exp_8425,vessel,vessel
exp_8426,CD4 T cells,CD4 T cells
exp_8427,Unknown,PDPN+ CAFs
exp_8428,tumour,T cells
exp_8429,vessel,vessel
exp_8430,other immune cells,other immune cells
exp_8431,Monocytes,Monocytes
exp_8432,tumour,Macrophages
exp_8433,tumour,tumour
exp_8434,tumour,tumour
exp_8435,Macrophages,Macrophages
exp_8436,other immune cells,PDPN+ CAFs
exp_8437,T cells,T cells
exp_8438,Monocytes,Monocytes
exp_8439,Monocytes,Monocytes
exp_8440,Monocytes,Monocytes
exp_8441,other immune cells,other immune cells
exp_8442,CD4 T cells,CD4 T cells
exp_8443,tumour,PDPN+ CAFs
exp_8444,T cells,T cells
exp_8445,other immune cells,other immune cells
exp_8446,CD4 T cells,CD4 T cells
exp_8447,tumour,tumour
exp_8448,other immune cells,other immune cells
exp_8449,CD4 T cells,CD4 T cells
exp_8450,CD4 T cells,CD4 T cells
exp_8451,vessel,vessel
exp_8452,Monocytes,Monocytes
exp_8453,Monocytes,Monocytes
exp_8454,other immune cells,other immune cells
exp_8455,myCAFs,myCAFs
exp_8456,PDPN+ CAFs,PDPN+ CAFs
exp_8457,myCAFs,myCAFs
exp_8458,PDPN+ CAFs,PDPN+ CAFs
exp_8459,other immune cells,other immune cells
exp_8460,tumour,tumour
exp_8461,myCAFs,myCAFs
exp_8462,tumour,tumour
exp_8463,Unknown,PDPN+ CAFs
exp_8464,T cells,T cells
exp_8465,myCAFs,myCAFs
exp_8466,vessel,vessel
exp_8467,vessel,vessel
exp_8468,T cells,T cells
exp_8469,tumour,tumour
exp_8470,tumour,tumour
exp_8471,tumour,tumour
exp_8472,CD4 T cells,CD4 T cells
exp_8473,PDPN+ CAFs,PDPN+ CAFs
exp_8474,Unknown,PDPN+ CAFs
exp_8475,CD4 T cells,CD4 T cells
exp_8476,other immune cells,other immune cells
exp_8477,tumour,tumour
exp_8478,myCAFs,myCAFs
exp_8479,tumour,vessel
exp_8480,tumour,tumour
exp_8481,CD4 T cells,CD4 T cells
exp_8482,other immune cells,vessel
exp_8483,vessel,vessel
exp_8484,other immune cells,PDPN+ CAFs
exp_8485,other immune cells,other immune cells
exp_8486,other immune cells,other immune cells
exp_8487,myCAFs,myCAFs
exp_8488,myCAFs,myCAFs
exp_8489,T cells,T cells
exp_8490,tumour,tumour
exp_8491,CD4 T cells,CD4 T cells
exp_8492,other immune cells,other immune cells
exp_8493,CD4 T cells,CD4 T cells
exp_8494,Unknown,myCAFs
exp_8495,myCAFs,myCAFs
exp_8496,CD4 T cells,CD4 T cells
exp_8497,tumour,other immune cells
exp_8498,other immune cells,other immune cells
exp_8499,tumour,tumour
exp_8500,tumour,tumour
exp_8501,tumour,tumour
exp_8502,tumour,tumour
exp_8503,CD4 T cells,T cells
exp_8504,other immune cells,other immune cells
exp_8505,tumour,tumour
exp_8506,tumour,tumour
exp_8507,myCAFs,myCAFs
exp_8508,Monocytes,Monocytes
exp_8509,CD4 T cells,CD4 T cells
exp_8510,PDPN+ CAFs,PDPN+ CAFs
exp_8511,Monocytes,Monocytes
exp_8512,Monocytes,Monocytes
exp_8513,other immune cells,other immune cells
exp_8514,Unknown,other immune cells
exp_8515,other immune cells,other immune cells
exp_8516,Monocytes,Monocytes
exp_8517,other immune cells,other immune cells
exp_8518,myCAFs,CD4 T cells
exp_8519,CD4 T cells,vessel
exp_8520,T cells,myCAFs
exp_8521,tumour,tumour
exp_8522,tumour,tumour
exp_8523,Unknown,PDPN+ CAFs
exp_8524,Unknown,PDPN+ CAFs
exp_8525,myCAFs,myCAFs
exp_8526,tumour,tumour
exp_8527,CD4 T cells,CD4 T cells
exp_8528,CD4 T cells,CD4 T cells
exp_8529,CD4 T cells,CD4 T cells
exp_8530,vessel,vessel
exp_8531,Unknown,myCAFs
exp_8532,Unknown,myCAFs
exp_8533,PDPN+ CAFs,PDPN+ CAFs
exp_8534,Unknown,myCAFs
exp_8535,myCAFs,myCAFs
exp_8536,tumour,tumour
exp_8537,vessel,vessel
exp_8538,other immune cells,other immune cells
exp_8539,CD4 T cells,CD4 T cells
exp_8540,other immune cells,other immune cells
exp_8541,CD4 T cells,CD4 T cells
exp_8542,tumour,tumour
exp_8543,tumour,Monocytes
exp_8544,myCAFs,myCAFs
exp_8545,Monocytes,Monocytes
exp_8546,tumour,CD4 T cells
exp_8547,myCAFs,myCAFs
exp_8548,tumour,tumour
exp_8549,Monocytes,Monocytes
exp_8550,vessel,vessel
exp_8551,vessel,vessel
exp_8552,other immune cells,other immune cells
exp_8553,other immune cells,myCAFs
exp_8554,vessel,vessel
exp_8555,other immune cells,PDPN+ CAFs
exp_8556,myCAFs,myCAFs
exp_8557,myCAFs,T cells
exp_8558,myCAFs,myCAFs
exp_8559,tumour,tumour
exp_8560,Unknown,myCAFs
exp_8561,Unknown,PDPN+ CAFs
exp_8562,T cells,T cells
exp_8563,tumour,tumour
exp_8564,tumour,tumour
exp_8565,myCAFs,myCAFs
exp_8566,CD4 T cells,CD4 T cells
exp_8567,PDPN+ CAFs,PDPN+ CAFs
exp_8568,tumour,tumour
exp_8569,tumour,tumour
exp_8570,tumour,Monocytes
exp_8571,tumour,other immune cells
exp_8572,other immune cells,other immune cells
exp_8573,other immune cells,other immune cells
exp_8574,myCAFs,CD4 T cells
exp_8575,tumour,tumour
exp_8576,myCAFs,myCAFs
exp_8577,Unknown,PDPN+ CAFs
exp_8578,Unknown,myCAFs
exp_8579,myCAFs,myCAFs
exp_8580,CD4 T cells,vessel
exp_8581,tumour,tumour
exp_8582,tumour,tumour
exp_8583,tumour,tumour
exp_8584,vessel,vessel
exp_8585,CD4 T cells,CD4 T cells
exp_8586,other immune cells,other immune cells
exp_8587,myCAFs,myCAFs
exp_8588,tumour,tumour
exp_8589,T cells,T cells
exp_8590,PDPN+ CAFs,PDPN+ CAFs
exp_8591,vessel,vessel
exp_8592,myCAFs,myCAFs
exp_8593,Monocytes,Monocytes
exp_8594,vessel,vessel
exp_8595,other immune cells,PDPN+ CAFs
exp_8596,CD4 T cells,CD4 T cells
exp_8597,myCAFs,myCAFs
exp_8598,CD4 T cells,CD4 T cells
exp_8599,myCAFs,myCAFs
exp_8600,vessel,vessel
exp_8601,myCAFs,myCAFs
exp_8602,Unknown,tumour
exp_8603,vessel,vessel
exp_8604,tumour,tumour
exp_8605,other immune cells,other immune cells
exp_8606,vessel,vessel
exp_8607,myCAFs,Dendritic cells
exp_8608,Unknown,myCAFs
exp_8609,other immune cells,other immune cells
exp_8610,tumour,PDPN+ CAFs
exp_8611,myCAFs,myCAFs
exp_8612,CD4 T cells,CD4 T cells
exp_8613,tumour,Monocytes
exp_8614,myCAFs,myCAFs
exp_8615,other immune cells,myCAFs
exp_8616,vessel,vessel
exp_8617,CD4 T cells,CD4 T cells
exp_8618,Monocytes,Monocytes
exp_8619,other immune cells,other immune cells
exp_8620,other immune cells,other immune cells
exp_8621,other immune cells,other immune cells
exp_8622,tumour,tumour
exp_8623,myCAFs,myCAFs
exp_8624,myCAFs,other immune cells
exp_8625,other immune cells,other immune cells
exp_8626,tumour,tumour
exp_8627,CD4 T cells,T cells
exp_8628,other immune cells,other immune cells
exp_8629,other immune cells,other immune cells
exp_8630,vessel,vessel
exp_8631,tumour,tumour
exp_8632,tumour,PDPN+ CAFs
exp_8633,tumour,tumour
exp_8634,tumour,tumour
exp_8635,other immune cells,PDPN+ CAFs
exp_8636,other immune cells,other immune cells
exp_8637,vessel,vessel
exp_8638,vessel,vessel
exp_8639,other immune cells,other immune cells
exp_8640,myCAFs,Dendritic cells
exp_8641,T cells,T cells
exp_8642,other immune cells,PDPN+ CAFs
exp_8643,myCAFs,myCAFs
exp_8644,vessel,vessel
exp_8645,vessel,vessel
exp_8646,vessel,vessel
exp_8647,vessel,vessel
exp_8648,myCAFs,T cells
exp_8649,myCAFs,myCAFs
exp_8650,myCAFs,T cells
exp_8651,tumour,other immune cells
exp_8652,CD4 T cells,CD4 T cells
exp_8653,Monocytes,Monocytes
exp_8654,vessel,vessel
exp_8655,myCAFs,myCAFs
exp_8656,myCAFs,myCAFs
exp_8657,myCAFs,myCAFs
exp_8658,tumour,tumour
exp_8659,tumour,tumour
exp_8660,myCAFs,myCAFs
exp_8661,myCAFs,myCAFs
exp_8662,tumour,tumour
exp_8663,CD4 T cells,CD4 T cells
exp_8664,vessel,vessel
exp_8665,vessel,vessel
exp_8666,other immune cells,myCAFs
exp_8667,tumour,other immune cells
exp_8668,tumour,tumour
exp_8669,myCAFs,myCAFs
exp_8670,tumour,tumour
exp_8671,tumour,tumour
exp_8672,other immune cells,other immune cells
exp_8673,Unknown,other immune cells
exp_8674,tumour,tumour
exp_8675,myCAFs,myCAFs
exp_8676,myCAFs,myCAFs
exp_8677,tumour,other immune cells
exp_8678,vessel,vessel
exp_8679,PDPN+ CAFs,PDPN+ CAFs
exp_8680,other immune cells,other immune cells
exp_8681,other immune cells,other immune cells
exp_8682,CD4 T cells,CD4 T cells
exp_8683,tumour,tumour
exp_8684,myCAFs,myCAFs
exp_8685,tumour,tumour
exp_8686,tumour,tumour
exp_8687,other immune cells,other immune cells
exp_8688,CD4 T cells,CD4 T cells
exp_8689,PDPN+ CAFs,PDPN+ CAFs
exp_8690,tumour,tumour
exp_8691,PDPN+ CAFs,PDPN+ CAFs
exp_8692,Monocytes,Monocytes
exp_8693,tumour,tumour
