,svm_prob_CD4 T cells,svm_prob_CD90+ CAFs,svm_prob_Dendritic cells,svm_prob_Macrophages,svm_prob_Monocytes,svm_prob_PDPN+ CAFs,svm_prob_T cells,svm_prob_myCAFs,svm_prob_other immune cells,svm_prob_tumour,svm_prob_vessel
exp_15160,5.647854042379926e-09,5.551195840031306e-09,6.045839426651945e-09,3.5404443606352977e-09,5.981884763483896e-09,8.697786860930138e-09,5.279774724469373e-09,1.9156432558193778e-08,1.852274072017477e-08,0.9999977848104303,2.1367656163897396e-06
exp_15161,5.191822817625764e-05,1.6159812613966455e-05,2.422830965035497e-05,1.3571934174824965e-05,7.657181253490166e-05,2.445281015373022e-05,2.2744250691392044e-05,0.0014546419878436892,0.0048339133385650185,0.007877362213288828,0.9856044353023068
exp_15162,1.2646609642839963e-05,7.381236124827517e-06,7.824988462171579e-06,4.549341273873538e-06,1.2255581926426197e-05,0.0012952843411168427,0.00013881680292394182,0.00379935124067152,0.981249103201322,0.013462277495092094,1.0509161443280144e-05
exp_15163,5.67028223293436e-09,3.947019479964579e-09,5.244909531368322e-09,3.0151631001396177e-09,5.675797172612742e-09,6.971417942299447e-09,5.526436041357728e-09,1.0962037143152234e-08,1.903394909811868e-08,0.9999995524243641,3.8152862414699853e-07
exp_15164,0.0031327713399063265,0.004104127136576263,0.007181376736058632,0.049138863879436605,0.5649273200179248,0.013906100438444853,0.0026703236217859375,0.1249190939067733,0.0551556508929368,0.1696963778947883,0.005167994135368642
exp_15165,0.008223333705391692,0.0017617987561234583,0.003948938634046515,0.3488079149032472,0.004035021893684396,0.0036570441081243536,0.015801441064292234,0.08249336345591819,0.08918433488541033,0.42766705482837286,0.014419753765388132
exp_15166,8.089682937455865e-05,8.167549980320114e-05,0.002791360180397887,0.0008433762580680343,0.0004656541338264468,0.0018663197034215035,0.0001383059468145161,0.7888277453219968,0.17301895569825262,0.0317387041369439,0.00014700629110006135
exp_15167,0.0006094067090003263,0.0005637758187303241,0.002716270052546919,0.0004236582546207242,0.0006037460254865772,0.0031608700678815694,0.0009046481410523561,0.7471511275508987,0.19877725199942906,0.04391544624292344,0.0011737991374299122
exp_15168,0.0004698624143894896,0.00018701125963047793,0.0008661247024066395,0.00023186411926123403,0.00042439270819880087,0.07098093283841224,0.0011069204539680575,0.029576084707187658,0.8834156881970393,0.01201119254844039,0.0007299260510659132
exp_15169,0.0007701117261942588,0.052796186362924546,0.0023845529400934626,0.00046334746102241184,0.0004714875572651956,0.005730330472341749,0.005358097065871321,0.014029434825434632,0.18751849177146276,0.7297885393179655,0.0006894204994238789
exp_15170,2.1671259882645514e-09,2.327637549446873e-09,2.369118335519689e-09,1.4622789261879092e-09,2.5767933252160703e-09,3.921236049152666e-09,2.0272507037857697e-09,6.383910966197992e-09,8.709475230054391e-09,0.9999996408353474,3.2721982545693144e-07
exp_15171,0.00017090881669655714,6.173624810045069e-05,0.0001095540966479236,0.0007166965894749593,0.007168953040406953,0.016824347374630122,9.929135613369279e-05,0.008692362694823258,0.9438855088892281,0.022073229753426717,0.00019741114043140916
exp_15172,0.00741644268517079,0.004622701343396014,0.00780700848367672,0.009601565190462298,0.321422430845924,0.007166633521190952,0.00883089611824059,0.027271777395884808,0.15635083349023096,0.20043738215569729,0.249072328770126
exp_15173,0.0033258939818647994,0.004650272102600903,0.00811057675673915,0.005072231695966005,0.654076206286447,0.0180358172084027,0.0043152205574138024,0.14354456293794582,0.09719186414802289,0.056216310437577625,0.005461043887019512
exp_15174,0.003468984252740897,0.0019020361910090941,0.0036629179223592783,0.4989476956633746,0.09172151391312856,0.0030080891233042776,0.0024533849646231174,0.2815973730804648,0.045624619574915676,0.05694825430671584,0.01066513100736374
exp_15175,3.959476312709164e-05,0.00011503946596740956,0.004316025201406465,5.2300088187645883e-05,9.151951200851254e-05,0.002678463577252246,5.6503067799423706e-05,0.9574984133244294,0.02410283685760918,0.010993765089426328,5.553905278621785e-05
exp_15176,0.0006361603162817231,0.00031966462257628506,0.01892894869511458,0.00011007314403490252,0.0012294720676634813,0.0003791979375951373,0.00037958307547914275,0.011876342561729784,0.26958067224603777,0.008360236704550035,0.688199648628937
exp_15177,0.0030109586881499287,0.0003005579322729831,0.00043516320676893175,0.00022452537194385416,0.0002623060347352947,0.0004341191520952035,0.058324441197225914,0.004367929321538253,0.08395904252674313,0.8477954641090997,0.0008854924594274264
exp_15178,0.0010460681371515575,0.0014770873835171906,0.02828548398340212,0.0008180461353306124,0.004144579506895233,0.0017824009183208193,0.0012827311120460465,0.013626071564966985,0.0019236681393964,0.9356077743166162,0.010006088802356749
exp_15179,2.1768907081256623e-05,5.607052586027092e-05,2.8149495335315683e-05,0.00017707649219776865,0.00032235491597692306,0.00018191454512885534,8.571873382096551e-05,4.792638506269525e-05,0.003019969544503771,0.9959506693817409,0.00010838107329154025
exp_15180,0.0014128948784273452,0.0021798950021890812,0.0019208170798991858,0.0010113103016280887,0.002902446305950396,0.07943070149048448,0.0015517171131590615,0.3767625032537212,0.4878318145484697,0.042315819510625734,0.002680080515446211
exp_15181,7.260031308432436e-07,6.238729859170363e-07,4.5012945054752264e-06,1.1677443328960598e-06,1.8576609081110813e-05,6.861222867729418e-05,7.966603391879155e-06,0.0001163606911194399,0.0012440756817229533,0.9985292592919004,8.129979151080934e-06
exp_15182,0.53468397714743,0.002599199399897964,0.03717528379932787,0.002911036511303678,0.0071344536524532935,0.003862732102289798,0.02991192314890639,0.02988591189985465,0.07223722195618182,0.08938477073098385,0.19021348965137064
exp_15183,0.0004348250351317417,0.0010554775162479016,0.0005519305242210552,0.00026846227259088483,0.0019964696925075837,0.00014757990045479892,0.0002877317118814617,0.005331139097641281,0.047922867652971636,0.05031842361120856,0.8916850929851424
exp_15184,1.851167111500401e-08,1.2248582268764196e-08,1.7424639583388096e-08,1.0083477148912237e-08,2.2084274334358298e-08,2.1595386859479666e-08,1.7610887909384093e-08,3.635069741098203e-08,5.966030396026123e-08,0.9999990418407196,7.425893599160408e-07
exp_15185,1.118176244946949e-06,9.359666386434725e-07,3.4835411258667745e-06,8.896781767121585e-07,1.7180217862948142e-05,1.938095916818756e-05,4.102213208924726e-06,0.0005028707313538029,0.005556026886746178,0.9938620949967362,3.1916632737455466e-05
exp_15186,1.1424454531634156e-05,0.0003277926039843396,0.0025944143461913535,1.793357021863494e-05,1.5082019675418574e-05,0.0003281349258386238,0.00010157804347862074,0.98627798586133,0.007915880438995451,0.0018975744293580413,0.0005121993063978426
exp_15187,1.5579820856799157e-05,6.548916836673339e-05,0.2971405646478816,6.430621020217209e-05,2.79202481623476e-05,0.00019982432284738476,3.839416790426615e-05,0.6782809125839155,0.020883589038350244,0.0031756750970788703,0.00010774469443433807
exp_15188,0.00025902595691461576,2.1045375111200296e-05,0.0005491425961149046,6.870100239029587e-05,0.00012650708355394928,2.406407677171239e-05,0.00019352187955490769,0.00010109861598674952,0.013569830220769347,0.0005912971669210738,0.9844957660259116
exp_15189,2.485130136038777e-06,3.885121170452996e-05,3.547394606591984e-05,6.094986046003852e-06,3.0575528236389722e-06,2.5750028752212917e-05,3.291568548557614e-05,0.0009944479313174512,0.005859619235103267,0.9929834327527577,1.7871539807841183e-05
exp_15190,0.006370169609318841,0.0019646945178751368,0.0006417620044683517,0.00021395188420953947,0.0002496865108761647,0.0010196736565557649,0.04856804190112694,0.9003584515270407,0.034730756484346724,0.005048455454183443,0.0008343564499983359
exp_15191,1.4961529622782753e-06,2.489299390532687e-05,0.0019667200870934235,1.3257047781248298e-05,1.6198106990831372e-06,0.00011430367870227947,2.458544965680312e-06,0.9976024421140703,7.075908818948285e-05,0.00019189233216965234,1.01581494608641e-05
exp_15192,0.02644340827114918,1.6374010572367972e-05,1.9824900199322947e-05,1.4455416975569644e-05,1.362180831292841e-05,2.4723742835074814e-05,0.0049992832103352034,0.0009733209138297964,0.00240412125645264,0.004015576073224879,0.9610752903961131
exp_15193,2.7016977393304773e-05,6.545418637817854e-05,0.46362749848957974,5.096278800997431e-05,3.0021973043798845e-05,0.00028295348456307224,7.52036061225701e-05,0.5197817995325756,0.015427796552764779,0.000586789002268842,4.450340730039302e-05
exp_15194,9.145093866254302e-06,4.1659359164972935e-06,1.1171780507879033e-06,2.699688333760698e-06,1.3370412278825588e-06,2.229072538350257e-06,0.0006083557861965664,6.959476716183026e-05,0.0007233838635889485,0.9985737808572692,4.19071584976163e-06
exp_15195,0.3506658132362275,0.002620394222614463,0.014696240784590593,0.0003244531284847267,0.00044049765760746716,0.012655961280244632,0.3859267800546306,0.20845095784020176,0.005102100602060363,0.018626286188317697,0.0004905150050207467
exp_15196,5.30448062765119e-05,0.0001419495117743502,0.006627275377076203,8.963270491203148e-05,0.00011798934530569698,0.0017155746552139127,6.607052418282637e-05,0.9855458110829384,0.0031450758419826717,0.0019591731418881994,0.0005384030084493766
exp_15197,6.872233582696034e-05,0.00012310003524099291,0.0002712324172708679,6.629018449185185e-05,0.00014690429315973653,0.0005443279814012636,0.00010165474819696002,0.019443080329127185,0.0057631272024869515,0.9731345763244871,0.00033698414831037605
exp_15198,4.41722591592063e-09,4.745948844901794e-09,5.0623756331471396e-09,3.0034552400436468e-09,5.145697022310623e-09,7.019063806547257e-09,4.02224704059608e-09,1.4104237939420809e-08,1.6603647227529723e-08,0.9999988386484036,1.0972276976811566e-06
exp_15199,0.004351419375082508,0.0008052456328892911,0.011043399990439072,0.00047432735921447563,0.0005567027042463748,0.0019597190784961245,0.024709119205739635,0.8466974181757855,0.07639897201681857,0.03234557009416784,0.0006581063671208976
exp_15200,6.89264384613343e-06,3.6823686649987096e-05,0.0024335957872771105,2.6987925404905108e-05,3.841589493577889e-06,0.00041949887309756183,2.6167534633713794e-05,0.9946038650736779,0.0016012710783306176,0.0008267964758304291,1.425933175825814e-05
exp_15201,0.0279194555882933,0.0004699175724436976,0.018857940973384182,0.00011414952339683829,0.00012768282211605338,0.0008749026233001017,0.0352529872905792,0.8963411071452014,0.014907979022088172,0.00499901264102903,0.00013486479816812475
exp_15202,0.02689785817464884,0.005785799291340767,0.3637313110856303,0.012824130525005138,0.035649246511910544,0.008538916153783632,0.020647002747288472,0.2726015776988058,0.10508998916300893,0.13986411441581473,0.008370054232762667
exp_15203,0.8075380806923841,0.0002805563431028893,0.0054617683258622995,0.010063361521212559,0.0013475375976925606,0.0008419706037184651,0.010702836918496359,0.024482184747967827,0.004153156981942232,0.05663162038286744,0.07849692588475372
exp_15204,0.0006075076852876279,0.0002536128779713299,0.04130784365585537,1.0351051028183038e-05,3.73373493818274e-06,0.0009233304340264154,0.0006424356927237233,0.9548806826939005,0.0007245841876445694,0.0006148756741270547,3.104231249667936e-05
exp_15205,2.891535440178397e-05,0.0015355256036582625,0.028095037055335885,0.00010687551446541929,0.00026108901663550243,0.0023902662257734106,0.00014422129194078127,0.9536277073882372,0.011692315798900404,0.0020857946791146818,3.225207153701511e-05
exp_15206,4.8498959440036725e-05,6.363923871908885e-05,7.79435265614675e-05,0.0001610960844643577,0.0004740810001375357,0.000510664282583587,6.240744215057649e-05,0.0002740661543829606,0.01903346709003511,0.9792141937784323,7.994244309313678e-05
exp_15207,5.450698757386535e-05,1.5259364783882484e-05,1.1572391068432168e-05,2.9627673955275684e-05,4.703868843858734e-05,1.4743997516634551e-05,1.4635162895718405e-05,1.3499746754176528e-05,0.003531358431281253,0.0012364197389508034,0.9950313378167815
exp_15208,0.044129929579291294,0.000946218086793287,0.002253254377802896,0.0009586743348371216,0.0016016541309995273,0.0018070164018446355,0.015218965834484666,0.06528382241556603,0.7660993817703224,0.09840053549379933,0.003300547574258589
exp_15209,0.21401048676347212,0.0022048856768145443,0.004704255240770245,0.06634500326130618,0.0055393868391789575,0.0027761802924650427,0.018006663838219954,0.041301870989706176,0.029849996363888614,0.5497598312767696,0.06550143945740855
exp_15210,0.8941202971381894,0.00019464128622010977,0.00246904495226698,0.0001603602086480525,0.00023474682960115733,0.0002598800722489839,0.015630122072375727,0.046204592040871774,0.004577671302343974,0.031457727105862976,0.004690916991370567
exp_15211,0.006350930857264064,0.005285859364532207,0.01132235275071352,0.006028624790273534,0.009343249649846093,0.27175682508097226,0.008073150197180743,0.02733971881570173,0.14392952558771455,0.34637696397282774,0.16419279893297398
exp_15212,0.00016703967241738077,0.0005399870357449608,0.02454253204051187,1.9980406052418938e-05,5.837721921860838e-05,0.00041537656944630886,0.004209326388730274,0.8438971621147094,0.12140945231620758,0.004052032355149143,0.0006887338818120318
