cell_id,group
abcipjkk-1,acinar epithelial
abcjahcc-1,ductal/tumor epithelial
abcjjcgl-1,ductal/tumor epithelial
abcjlkel-1,ductal/tumor epithelial
abcldmhb-1,acinar epithelial
abcloepc-1,acinar epithelial
abcmblph-1,acinar epithelial
abcmnodf-1,acinar epithelial
abcmokfb-1,activated fibroblast/stellate
abcncnme-1,acinar epithelial
abcndnll-1,ductal/tumor epithelial
abcnipoc-1,acinar epithelial
abcodkmm-1,proliferative ductal/tumor epithelial
abcpjjnd-1,proliferative ductal/tumor epithelial
abdabcih-1,ductal/tumor epithelial
abdacmod-1,acinar epithelial
abdadbei-1,proliferative ductal/tumor epithelial
abdaenjl-1,ductal/tumor epithelial
abdckong-1,acinar epithelial
abdcphcf-1,acinar epithelial
abddnike-1,acinar epithelial
abdeajpi-1,proliferative ductal/tumor epithelial
abdeeila-1,proliferative ductal/tumor epithelial
abdenecm-1,proliferative ductal/tumor epithelial
abdfeajk-1,proliferative ductal/tumor epithelial
abdfmbec-1,proliferative ductal/tumor epithelial
abdfnfaf-1,ductal/tumor epithelial
abdhldga-1,proliferative ductal/tumor epithelial
abdiagji-1,proliferative ductal/tumor epithelial
abdjlekm-1,acinar epithelial
abdkdghg-1,endothelial
abdlmfba-1,acinar epithelial
abdlngpd-1,acinar epithelial
abdmbbip-1,ductal/tumor epithelial
abdmjpak-1,acinar epithelial
abdnamhp-1,acinar epithelial
abdnmell-1,ductal/tumor epithelial
abdolhff-1,acinar epithelial
abdpeifn-1,ductal/tumor epithelial
abdpljbp-1,acinar epithelial
abebeech-1,acinar epithelial
abebkika-1,endothelial
abecabec-1,acinar epithelial
abecncpb-1,acinar epithelial
abedaefn-1,acinar epithelial
abedegla-1,ductal/tumor epithelial
abedelji-1,acinar epithelial
abedfgll-1,acinar epithelial
abedhljn-1,acinar epithelial
abeegmmf-1,acinar epithelial
abefjicp-1,acinar epithelial
abehdpnb-1,acinar epithelial
abeikfmh-1,acinar epithelial
abejfdkj-1,acinar epithelial
abejfmnm-1,ductal/tumor epithelial
abejjmpg-1,ductal/tumor epithelial
abeknakk-1,acinar epithelial
abeldnhl-1,acinar epithelial
abemaebc-1,ductal/tumor epithelial
abemhfig-1,ductal/tumor epithelial
abemlgik-1,acinar epithelial
abeobgpj-1,acinar epithelial
abeoehjf-1,acinar epithelial
abeolaej-1,ductal/tumor epithelial
abeolebp-1,ductal/tumor epithelial
abepemng-1,acinar epithelial
abepffei-1,activated fibroblast/stellate
abfacace-1,ductal/tumor epithelial
abfahmcg-1,acinar epithelial
abfanmin-1,ductal/tumor epithelial
abfbmnkd-1,ductal/tumor epithelial
abfbodhb-1,acinar epithelial
abfcgnlm-1,activated fibroblast/stellate
abfchlfk-1,ductal/tumor epithelial
abfcjhmb-1,acinar epithelial
abfgkhbb-1,acinar epithelial
abfhbong-1,acinar epithelial
abfijopc-1,acinar epithelial
abfinekg-1,acinar epithelial
abfjjmph-1,acinar epithelial
abfjlolo-1,acinar epithelial
abfklbeg-1,activated fibroblast/stellate
abflcbef-1,endothelial
abflfnhl-1,acinar epithelial
abfpbiao-1,acinar epithelial
abfpciki-1,acinar epithelial
abfpfkbl-1,acinar epithelial
abgakffc-1,acinar epithelial
abgakobg-1,acinar epithelial
abgbhaem-1,acinar epithelial
abgbhkmi-1,activated fibroblast/stellate
abgbjgil-1,activated fibroblast/stellate
abgbplfd-1,endothelial
abgeaibf-1,activated fibroblast/stellate
abgecgli-1,acinar epithelial
abgeflpi-1,acinar epithelial
abgejmga-1,endothelial
abgfjebk-1,acinar epithelial
abggcbgp-1,acinar epithelial
abggdpmo-1,acinar epithelial
abghdlmb-1,ductal/tumor epithelial
abgilggj-1,activated fibroblast/stellate
abgjbhei-1,acinar epithelial
abgjcfda-1,acinar epithelial
abgjenid-1,activated fibroblast/stellate
abgkeeep-1,Tregs
abgkombj-1,myeloid/macrophage
abgmhijc-1,acinar epithelial
abgmodno-1,acinar epithelial
abgokkil-1,acinar epithelial
abgolged-1,ductal/tumor epithelial
abgpijpf-1,ductal/tumor epithelial
abgppaih-1,acinar epithelial
