fiber_type,n_fibers,n_with_cells,mean_signal,median_signal,imageid,pathology,phenotype
FN,15956,386,10.861988550070445,0.8698717478642718,JRP144,OA,B cells
MFAP5,12045,330,7.036995756146868,0.8713538473272048,JRP144,OA,B cells
CHP,10212,716,0.9200316087502558,0.6294695802978764,JRP144,OA,Plasma cells
COL1A1bis,5522,492,0.9961042568245113,0.693944523798372,JRP144,OA,Plasma cells
COL4A1,1407,115,1.1303796244672992,0.7413000163893785,JRP144,OA,Plasma cells
COL6A1,17798,1110,0.9528381634939884,0.642204110716883,JRP144,OA,Plasma cells
FN,15956,984,0.9622680152512496,0.6566311683560355,JRP144,OA,Plasma cells
MFAP5,12045,668,0.9769959568060351,0.6697948321606373,JRP144,OA,Plasma cells
CHP,10212,4367,2.528245631415319,1.457363995338755,JRP144,OA,Macrophages
COL1A1bis,5522,1241,1.4271039174200224,0.8308986023861953,JRP144,OA,Macrophages
COL4A1,1407,536,1.6418231575898112,1.0900335165530284,JRP144,OA,Macrophages
COL6A1,17798,8147,3.111742393758987,1.9339428081534848,JRP144,OA,Macrophages
FN,15956,7200,2.89128544173047,1.82653549533036,JRP144,OA,Macrophages
MFAP5,12045,5064,2.7730228375230257,1.5829052707816023,JRP144,OA,Macrophages
CHP,10212,967,1.7168419541166935,0.8752724761935133,JRP144,OA,MERTK+ Macrophages
COL1A1bis,5522,190,0.7535650144121689,0.5464461925320849,JRP144,OA,MERTK+ Macrophages
COL4A1,1407,91,0.8060191133769886,0.6326459684843694,JRP144,OA,MERTK+ Macrophages
COL6A1,17798,2260,2.106594714694843,1.0588430074713324,JRP144,OA,MERTK+ Macrophages
FN,15956,2193,2.305324368635987,1.130633015737347,JRP144,OA,MERTK+ Macrophages
MFAP5,12045,1252,1.7784284491902813,0.8877289635091268,JRP144,OA,MERTK+ Macrophages
CHP,10212,9387,3.9199091713589187,2.851621310512626,JRP144,OA,Monocytes
COL1A1bis,5522,5100,3.304333464475891,2.5296064037917265,JRP144,OA,Monocytes
COL4A1,1407,1305,4.2718406992592275,3.3071206630933783,JRP144,OA,Monocytes
COL6A1,17798,16343,4.056727494416317,2.7587132816209934,JRP144,OA,Monocytes
FN,15956,14719,4.533452466172839,2.9891136913908243,JRP144,OA,Monocytes
MFAP5,12045,10943,3.8672240601509413,2.710461897902939,JRP144,OA,Monocytes
CHP,10212,2277,1.0946488506853016,0.7074368077783592,JRP144,OA,Dendritic cells
COL1A1bis,5522,1473,1.0286407338369021,0.7122262742974883,JRP144,OA,Dendritic cells
COL4A1,1407,402,1.2130800539939572,0.7979059604448546,JRP144,OA,Dendritic cells
COL6A1,17798,3475,1.0069846968905458,0.6909436811379588,JRP144,OA,Dendritic cells
FN,15956,2809,0.9622785924087823,0.6749699352599091,JRP144,OA,Dendritic cells
MFAP5,12045,2383,1.0572607357379002,0.6804247838828013,JRP144,OA,Dendritic cells
CHP,10212,1599,1.295282151551819,0.7075799846211026,JRP144,OA,Neutrophils
COL1A1bis,5522,1047,1.578190588558085,0.7840194809592704,JRP144,OA,Neutrophils
COL4A1,1407,274,1.5842127580754288,0.8188647722753721,JRP144,OA,Neutrophils
COL6A1,17798,2676,1.3916697470920216,0.7031575975039319,JRP144,OA,Neutrophils
FN,15956,2661,1.4506667332287748,0.7312734910424652,JRP144,OA,Neutrophils
MFAP5,12045,1975,1.465426271478863,0.7240754379662128,JRP144,OA,Neutrophils
CHP,10212,5627,3.5669016158192055,2.3872650228569325,JRP144,OA,Vascular cells
COL1A1bis,5522,4054,4.6049834905061795,3.4945510866188334,JRP144,OA,Vascular cells
COL4A1,1407,1346,6.687498667340635,5.542923770051759,JRP144,OA,Vascular cells
COL6A1,17798,9509,3.20236813519415,2.2077948941410535,JRP144,OA,Vascular cells
FN,15956,8103,3.3037902616337402,2.2069345062126855,JRP144,OA,Vascular cells
MFAP5,12045,6741,3.2896868683893787,2.2474859398658262,JRP144,OA,Vascular cells
CHP,34118,7377,1.8866895203087082,0.8350032612495872,S00292623,OA,CD4 T cells
