imageid,phenotype,fiber_type,error
JRP144,Dendritic cells,FN,Increase link radius to cover all radii
JRP144,Dendritic cells,MFAP5,Increase link radius to cover all radii
JRP144,Neutrophils,CHP,Increase link radius to cover all radii
JRP144,Neutrophils,COL1A1bis,Increase link radius to cover all radii
JRP144,Neutrophils,COL4A1,Increase link radius to cover all radii
JRP144,Neutrophils,COL6A1,Increase link radius to cover all radii
JRP144,Neutrophils,FN,Increase link radius to cover all radii
JRP144,Neutrophils,MFAP5,Increase link radius to cover all radii
JRP144,Vascular cells,CHP,Increase link radius to cover all radii
JRP144,Vascular cells,COL1A1bis,Increase link radius to cover all radii
JRP144,Vascular cells,COL4A1,Increase link radius to cover all radii
JRP144,Vascular cells,COL6A1,Increase link radius to cover all radii
JRP144,Vascular cells,FN,Increase link radius to cover all radii
JRP144,Vascular cells,MFAP5,Increase link radius to cover all radii
S00292623,CD4 T cells,CHP,Increase link radius to cover all radii
S00292623,CD4 T cells,COL1A1bis,Increase link radius to cover all radii
S00292623,CD4 T cells,COL4A1,Increase link radius to cover all radii
S00292623,CD4 T cells,COL6A1,Increase link radius to cover all radii
S00292623,CD4 T cells,FN,Increase link radius to cover all radii
S00292623,CD4 T cells,MFAP5,Increase link radius to cover all radii
S00292623,CD8 T cells,CHP,Increase link radius to cover all radii
S00292623,CD8 T cells,COL1A1bis,Increase link radius to cover all radii
S00292623,CD8 T cells,COL4A1,Increase link radius to cover all radii
S00292623,CD8 T cells,COL6A1,Increase link radius to cover all radii
S00292623,CD8 T cells,FN,Increase link radius to cover all radii
S00292623,CD8 T cells,MFAP5,Increase link radius to cover all radii
S00292623,T cells,CHP,Increase link radius to cover all radii
S00292623,T cells,COL1A1bis,Increase link radius to cover all radii
S00292623,T cells,COL4A1,Increase link radius to cover all radii
S00292623,T cells,COL6A1,Increase link radius to cover all radii
S00292623,T cells,FN,Increase link radius to cover all radii
S00292623,T cells,MFAP5,Increase link radius to cover all radii
S00292623,B cells,CHP,Increase link radius to cover all radii
S00292623,B cells,COL1A1bis,Increase link radius to cover all radii
S00292623,B cells,COL4A1,Increase link radius to cover all radii
S00292623,B cells,COL6A1,Increase link radius to cover all radii
S00292623,B cells,FN,Increase link radius to cover all radii
S00292623,B cells,MFAP5,Increase link radius to cover all radii
S00292623,Plasma cells,CHP,Increase link radius to cover all radii
S00292623,Plasma cells,COL1A1bis,Increase link radius to cover all radii
S00292623,Plasma cells,COL4A1,Increase link radius to cover all radii
S00292623,Plasma cells,COL6A1,Increase link radius to cover all radii
S00292623,Plasma cells,FN,Increase link radius to cover all radii
S00292623,Plasma cells,MFAP5,Increase link radius to cover all radii
S00292623,Macrophages,CHP,Increase link radius to cover all radii
S00292623,Macrophages,COL1A1bis,Increase link radius to cover all radii
S00292623,Macrophages,COL4A1,Increase link radius to cover all radii
S00292623,Macrophages,COL6A1,Increase link radius to cover all radii
S00292623,Macrophages,FN,Increase link radius to cover all radii
S00292623,Macrophages,MFAP5,Increase link radius to cover all radii
S00292623,MERTK+ Macrophages,CHP,Increase link radius to cover all radii
S00292623,MERTK+ Macrophages,COL1A1bis,Increase link radius to cover all radii
S00292623,MERTK+ Macrophages,COL4A1,Increase link radius to cover all radii
S00292623,MERTK+ Macrophages,COL6A1,Increase link radius to cover all radii
S00292623,MERTK+ Macrophages,FN,Increase link radius to cover all radii
S00292623,MERTK+ Macrophages,MFAP5,Increase link radius to cover all radii
S00292623,Monocytes,CHP,Increase link radius to cover all radii
S00292623,Monocytes,COL1A1bis,Increase link radius to cover all radii
S00292623,Monocytes,COL4A1,Increase link radius to cover all radii
S00292623,Monocytes,COL6A1,Increase link radius to cover all radii
S00292623,Monocytes,FN,Increase link radius to cover all radii
S00292623,Monocytes,MFAP5,Increase link radius to cover all radii
S00292623,Dendritic cells,CHP,Increase link radius to cover all radii
S00292623,Dendritic cells,COL1A1bis,Increase link radius to cover all radii
S00292623,Dendritic cells,COL4A1,Increase link radius to cover all radii
S00292623,Dendritic cells,COL6A1,Increase link radius to cover all radii
S00292623,Dendritic cells,FN,Increase link radius to cover all radii
S00292623,Dendritic cells,MFAP5,Increase link radius to cover all radii
S00292623,Neutrophils,CHP,Increase link radius to cover all radii
S00292623,Neutrophils,COL1A1bis,Increase link radius to cover all radii
S00292623,Neutrophils,COL4A1,Increase link radius to cover all radii
S00292623,Neutrophils,COL6A1,Increase link radius to cover all radii
S00292623,Neutrophils,FN,Increase link radius to cover all radii
S00292623,Neutrophils,MFAP5,Increase link radius to cover all radii
S00292623,Vascular cells,CHP,Increase link radius to cover all radii
S00292623,Vascular cells,COL1A1bis,Increase link radius to cover all radii
S00292623,Vascular cells,COL4A1,Increase link radius to cover all radii
S00292623,Vascular cells,COL6A1,Increase link radius to cover all radii
S00292623,Vascular cells,FN,Increase link radius to cover all radii
S00292623,Vascular cells,MFAP5,Increase link radius to cover all radii
S00293087,CD4 T cells,CHP,Increase link radius to cover all radii
S00293087,CD4 T cells,COL1A1bis,Increase link radius to cover all radii
S00293087,CD4 T cells,COL4A1,Increase link radius to cover all radii
S00293087,CD4 T cells,COL6A1,Increase link radius to cover all radii
S00293087,CD4 T cells,FN,Increase link radius to cover all radii
S00293087,CD4 T cells,MFAP5,Increase link radius to cover all radii
S00293087,CD8 T cells,CHP,Increase link radius to cover all radii
S00293087,CD8 T cells,COL1A1bis,Increase link radius to cover all radii
S00293087,CD8 T cells,COL4A1,Increase link radius to cover all radii
S00293087,CD8 T cells,COL6A1,Increase link radius to cover all radii
S00293087,CD8 T cells,FN,Increase link radius to cover all radii
S00293087,CD8 T cells,MFAP5,Increase link radius to cover all radii
S00293087,T cells,CHP,Increase link radius to cover all radii
S00293087,T cells,COL1A1bis,Increase link radius to cover all radii
S00293087,T cells,COL4A1,Increase link radius to cover all radii
S00293087,T cells,COL6A1,Increase link radius to cover all radii
S00293087,T cells,FN,Increase link radius to cover all radii
S00293087,T cells,MFAP5,Increase link radius to cover all radii
S00293087,B cells,CHP,Increase link radius to cover all radii
S00293087,B cells,COL1A1bis,Increase link radius to cover all radii
S00293087,B cells,COL4A1,Increase link radius to cover all radii
S00293087,B cells,COL6A1,Increase link radius to cover all radii
S00293087,B cells,FN,Increase link radius to cover all radii
S00293087,B cells,MFAP5,Increase link radius to cover all radii
S00293087,Plasma cells,CHP,Increase link radius to cover all radii
S00293087,Plasma cells,COL1A1bis,Increase link radius to cover all radii
S00293087,Plasma cells,COL4A1,Increase link radius to cover all radii
S00293087,Plasma cells,COL6A1,Increase link radius to cover all radii
S00293087,Plasma cells,FN,Increase link radius to cover all radii
S00293087,Plasma cells,MFAP5,Increase link radius to cover all radii
S00293087,Macrophages,CHP,Increase link radius to cover all radii
S00293087,Macrophages,COL1A1bis,Increase link radius to cover all radii
S00293087,Macrophages,COL4A1,Increase link radius to cover all radii
S00293087,Macrophages,COL6A1,Increase link radius to cover all radii
S00293087,Macrophages,FN,Increase link radius to cover all radii
S00293087,Macrophages,MFAP5,Increase link radius to cover all radii
S00293087,MERTK+ Macrophages,CHP,Increase link radius to cover all radii
S00293087,MERTK+ Macrophages,COL1A1bis,Increase link radius to cover all radii
S00293087,MERTK+ Macrophages,COL4A1,Increase link radius to cover all radii
S00293087,MERTK+ Macrophages,COL6A1,Increase link radius to cover all radii
S00293087,MERTK+ Macrophages,FN,Increase link radius to cover all radii
S00293087,MERTK+ Macrophages,MFAP5,Increase link radius to cover all radii
S00293087,Monocytes,CHP,Increase link radius to cover all radii
S00293087,Monocytes,COL1A1bis,Increase link radius to cover all radii
S00293087,Monocytes,COL4A1,Increase link radius to cover all radii
S00293087,Monocytes,COL6A1,Increase link radius to cover all radii
S00293087,Monocytes,FN,Increase link radius to cover all radii
S00293087,Monocytes,MFAP5,Increase link radius to cover all radii
S00293087,Dendritic cells,CHP,Increase link radius to cover all radii
S00293087,Dendritic cells,COL1A1bis,Increase link radius to cover all radii
S00293087,Dendritic cells,COL4A1,Increase link radius to cover all radii
S00293087,Dendritic cells,COL6A1,Increase link radius to cover all radii
S00293087,Dendritic cells,FN,Increase link radius to cover all radii
S00293087,Dendritic cells,MFAP5,Increase link radius to cover all radii
S00293087,Neutrophils,CHP,Increase link radius to cover all radii
S00293087,Neutrophils,COL1A1bis,Increase link radius to cover all radii
S00293087,Neutrophils,COL4A1,Increase link radius to cover all radii
S00293087,Neutrophils,COL6A1,Increase link radius to cover all radii
S00293087,Neutrophils,FN,Increase link radius to cover all radii
S00293087,Neutrophils,MFAP5,Increase link radius to cover all radii
S00293087,Vascular cells,CHP,Increase link radius to cover all radii
S00293087,Vascular cells,COL1A1bis,Increase link radius to cover all radii
S00293087,Vascular cells,COL4A1,Increase link radius to cover all radii
S00293087,Vascular cells,COL6A1,Increase link radius to cover all radii
S00293087,Vascular cells,FN,Increase link radius to cover all radii
S00293087,Vascular cells,MFAP5,Increase link radius to cover all radii
