imageid,pathology,phenotype,fiber_type,feature_fiber,cell_feature,cross_morans_i
JRP112,RA,Plasma cells,FN,alignment_score,is_Plasma_cells,-0.06368977627251118
JRP112,RA,Plasma cells,MFAP5,major_axis_length,is_Plasma_cells,0.0320585591324709
JRP112,RA,Plasma cells,MFAP5,minor_axis_length,is_Plasma_cells,0.03237274241541087
JRP112,RA,Plasma cells,MFAP5,area,is_Plasma_cells,0.04287197806790493
JRP112,RA,Plasma cells,MFAP5,eccentricity,is_Plasma_cells,0.004491284141375197
JRP112,RA,Plasma cells,MFAP5,alignment_score,is_Plasma_cells,-0.05455311075900523
JRP112,RA,Macrophages,CHP,major_axis_length,is_Macrophages,-0.03936163885332202
JRP112,RA,Macrophages,CHP,minor_axis_length,is_Macrophages,-0.03574325877848938
JRP112,RA,Macrophages,CHP,area,is_Macrophages,-0.0163086506773162
JRP112,RA,Macrophages,CHP,eccentricity,is_Macrophages,-0.008754498382375187
JRP112,RA,Macrophages,CHP,alignment_score,is_Macrophages,0.08503384524394927
JRP112,RA,Macrophages,COL1A1bis,major_axis_length,is_Macrophages,-0.00900984786973118
JRP112,RA,Macrophages,COL1A1bis,minor_axis_length,is_Macrophages,-0.005780956567753674
JRP112,RA,Macrophages,COL1A1bis,area,is_Macrophages,-0.006073182495357239
JRP112,RA,Macrophages,COL1A1bis,eccentricity,is_Macrophages,0.011601822872558032
JRP112,RA,Macrophages,COL1A1bis,alignment_score,is_Macrophages,-0.022517077116682407
JRP112,RA,Macrophages,COL4A1,major_axis_length,is_Macrophages,-0.026269840005907843
JRP112,RA,Macrophages,COL4A1,minor_axis_length,is_Macrophages,-0.07215063550849646
JRP112,RA,Macrophages,COL4A1,area,is_Macrophages,-0.04779074528554674
JRP112,RA,Macrophages,COL4A1,eccentricity,is_Macrophages,0.03626144099082218
JRP112,RA,Macrophages,COL4A1,alignment_score,is_Macrophages,-0.014256502393833187
JRP112,RA,Macrophages,COL6A1,major_axis_length,is_Macrophages,-0.012752653323411252
JRP112,RA,Macrophages,COL6A1,minor_axis_length,is_Macrophages,0.009200358426836506
JRP112,RA,Macrophages,COL6A1,area,is_Macrophages,-0.004470948477506853
JRP112,RA,Macrophages,COL6A1,eccentricity,is_Macrophages,-0.006616385567831907
JRP112,RA,Macrophages,COL6A1,alignment_score,is_Macrophages,0.014683394115195099
JRP112,RA,Macrophages,FN,major_axis_length,is_Macrophages,-0.008629773642917782
JRP112,RA,Macrophages,FN,minor_axis_length,is_Macrophages,0.015979946613297782
JRP112,RA,Macrophages,FN,area,is_Macrophages,0.00397483728177238
JRP112,RA,Macrophages,FN,eccentricity,is_Macrophages,-0.03965309275597226
JRP112,RA,Macrophages,FN,alignment_score,is_Macrophages,0.012212914842701091
JRP112,RA,Macrophages,MFAP5,major_axis_length,is_Macrophages,0.004023269606800928
JRP112,RA,Macrophages,MFAP5,minor_axis_length,is_Macrophages,-0.006064152969843126
JRP112,RA,Macrophages,MFAP5,area,is_Macrophages,-0.006704223123815368
JRP112,RA,Macrophages,MFAP5,eccentricity,is_Macrophages,0.05251417078627672
JRP112,RA,Macrophages,MFAP5,alignment_score,is_Macrophages,0.0027048273995680457
JRP112,RA,MERTK+ Macrophages,CHP,major_axis_length,is_MERTKpos_Macrophages,-0.028924981376985345
JRP112,RA,MERTK+ Macrophages,CHP,minor_axis_length,is_MERTKpos_Macrophages,-0.030602801948617805
JRP112,RA,MERTK+ Macrophages,CHP,area,is_MERTKpos_Macrophages,-0.03165905230901748
JRP112,RA,MERTK+ Macrophages,CHP,eccentricity,is_MERTKpos_Macrophages,0.03494459583020694
JRP112,RA,MERTK+ Macrophages,CHP,alignment_score,is_MERTKpos_Macrophages,-0.08601569321268758
JRP112,RA,MERTK+ Macrophages,COL1A1bis,major_axis_length,is_MERTKpos_Macrophages,0.023561818661611052
JRP112,RA,MERTK+ Macrophages,COL1A1bis,minor_axis_length,is_MERTKpos_Macrophages,0.04984381507972706
JRP112,RA,MERTK+ Macrophages,COL1A1bis,area,is_MERTKpos_Macrophages,0.030883564237485527
