phenotype,fiber_type,feature_fiber,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
Neutrophils,COL6A1,minor_axis_length,3,3,0.016660919185351425,0.024126138865636592,-0.007465219680285167,0.4
Monocytes,COL6A1,eccentricity,3,3,-0.0278329055732446,-0.020348985692042094,-0.007483919881202505,1.0
CD4 T cells,FN,eccentricity,3,3,0.00720848454017779,0.014967418523279472,-0.007758933983101682,0.7
Dendritic cells,FN,major_axis_length,3,3,-0.008630417035277758,-0.0007902774694403184,-0.007840139565837439,0.7
CD8 T cells,MFAP5,major_axis_length,3,3,-0.010135875626975962,-0.0022019839611713238,-0.007933891665804637,1.0
Vascular cells,CHP,eccentricity,3,3,0.024055474638009125,0.03211095029374592,-0.008055475655736798,1.0
Vascular cells,COL6A1,minor_axis_length,3,3,0.01703116348868249,0.025128154819499805,-0.008096991330817316,0.7
Plasma cells,FN,alignment_score,3,3,-0.013514444862643993,-0.005313962958457877,-0.008200481904186117,1.0
B cells,COL6A1,alignment_score,3,3,-0.0055034720794919076,0.002784515405268862,-0.00828798748476077,0.7
Plasma cells,FN,major_axis_length,3,3,-0.009930299298620741,-0.0016373110016576601,-0.00829298829696308,1.0
MERTK+ Macrophages,COL1A1bis,eccentricity,3,3,-0.0031296484870404345,0.00519890171346116,-0.008328550200501595,0.7
Monocytes,FN,eccentricity,3,3,-0.01329584849405159,-0.004910946230462853,-0.008384902263588737,0.7
MERTK+ Macrophages,MFAP5,major_axis_length,3,3,0.0005077970982504827,0.00891714423348705,-0.008409347135236566,1.0
MERTK+ Macrophages,FN,alignment_score,3,3,-0.012526108100934616,-0.003929131776913367,-0.00859697632402125,0.4
Monocytes,COL1A1bis,alignment_score,3,3,0.01582533924261453,0.024610256685923385,-0.008784917443308855,1.0
Macrophages,COL1A1bis,major_axis_length,3,3,-0.015845719015124632,-0.006833241651133891,-0.009012477363990742,0.7
MERTK+ Macrophages,FN,area,3,3,-0.008781444881774137,0.00025598392566864606,-0.009037428807442783,1.0
B cells,COL1A1bis,major_axis_length,3,3,-3.8130402268224884e-05,0.009066512423470842,-0.009104642825739067,0.2
CD8 T cells,MFAP5,area,3,3,-0.013798497772206543,-0.004500454821554755,-0.00929804295065179,0.7
MERTK+ Macrophages,FN,minor_axis_length,3,3,-0.010141577958708143,-0.0007770950216000385,-0.009364482937108105,0.4
Vascular cells,COL4A1,area,3,3,0.04584165570915013,0.0552558459058641,-0.009414190196713967,0.7
MERTK+ Macrophages,CHP,major_axis_length,3,3,-0.017301764177222647,-0.007390461963722477,-0.00991130221350017,0.4
Macrophages,COL4A1,major_axis_length,3,3,-0.038877726048435424,-0.028699792419310772,-0.010177933629124652,1.0
Plasma cells,FN,minor_axis_length,3,3,-0.0167885281600041,-0.006529550828069919,-0.01025897733193418,0.7
CD4 T cells,FN,area,3,3,-0.022141637149814177,-0.011777925134169788,-0.01036371201564439,0.4
Monocytes,FN,minor_axis_length,3,3,0.004076062644762016,0.014810407178033516,-0.0107343445332715,0.7
MERTK+ Macrophages,MFAP5,area,3,3,-0.006674071030104432,0.004076394479212884,-0.010750465509317316,0.4
Plasma cells,COL6A1,minor_axis_length,3,3,-0.009029673193621515,0.001767309020208804,-0.010796982213830318,0.7
Plasma cells,FN,area,3,3,-0.016310487802361284,-0.005457102253427957,-0.010853385548933326,0.7
MERTK+ Macrophages,COL4A1,area,3,3,-0.020396933235020336,-0.0094597149580104,-0.010937218277009936,0.7
CD8 T cells,FN,area,3,3,-0.027185844392883737,-0.016159730418524587,-0.01102611397435915,0.4
Plasma cells,COL6A1,area,3,3,-0.008414379446326314,0.0028490978602109273,-0.011263477306537241,0.7
CD4 T cells,COL1A1bis,alignment_score,3,3,-0.02236089348091495,-0.011077296504141678,-0.011283596976773272,0.7
CD4 T cells,COL6A1,area,3,3,-0.010219735610169886,0.001288808049771424,-0.01150854365994131,0.1
Macrophages,COL1A1bis,minor_axis_length,3,3,-0.012235845008258394,-0.0007271309119018174,-0.011508714096356577,0.7
B cells,COL6A1,major_axis_length,3,3,-0.01511863950343196,-0.0036060360454876054,-0.011512603457944356,0.2
