phenotype,fiber_type,feature_fiber,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
Plasma cells,CHP,minor_axis_length,3,3,-0.008520553819447737,-0.008039685830266088,-0.0004808679891816492,1.0
Dendritic cells,COL4A1,major_axis_length,3,3,-0.0023396832993258653,-0.0017677662535034806,-0.0005719170458223846,0.7
Macrophages,COL4A1,minor_axis_length,3,3,-0.032826229955696756,-0.03218771956829971,-0.0006385103873970469,1.0
Neutrophils,COL1A1bis,area,3,3,0.013182924251285867,0.013841239031663247,-0.0006583147803773792,1.0
Plasma cells,MFAP5,eccentricity,3,3,0.00564602094020283,0.006373146611699895,-0.0007271256714970649,1.0
CD4 T cells,CHP,eccentricity,3,3,0.013810295818630275,0.014548544726503956,-0.0007382489078736811,0.7
Plasma cells,MFAP5,area,3,3,0.0166663148445084,0.017473762813552337,-0.0008074479690439382,1.0
Macrophages,COL6A1,major_axis_length,3,3,-0.0011825360898442662,-0.00022066693469719711,-0.0009618691551470691,1.0
Dendritic cells,COL6A1,major_axis_length,3,3,-0.00859489856946626,-0.007632378277866791,-0.00096252029159947,1.0
T cells,CHP,area,3,3,0.006651709537028566,0.007684315960864759,-0.0010326064238361929,1.0
Dendritic cells,COL4A1,area,3,3,-0.01016235623753209,-0.009122059533105237,-0.0010402967044268532,0.7
B cells,CHP,eccentricity,3,3,0.004592486022340894,0.005694071434353465,-0.0011015854120125712,1.0
Vascular cells,COL4A1,eccentricity,3,3,-0.01492967678096276,-0.013686362556703517,-0.0012433142242592437,1.0
Dendritic cells,MFAP5,area,3,3,-0.00013835994114337686,0.001189711385301389,-0.0013280713264447659,0.7
Plasma cells,CHP,major_axis_length,3,3,-0.0034568776824757236,-0.0021268185547589037,-0.00133005912771682,1.0
Macrophages,CHP,eccentricity,3,3,0.00355045838060024,0.004904771508580694,-0.0013543131279804537,1.0
Dendritic cells,MFAP5,minor_axis_length,3,3,-0.002747829977932431,-0.0013707679057663382,-0.0013770620721660928,1.0
Monocytes,COL4A1,minor_axis_length,3,3,0.0315503653075061,0.03293683572599787,-0.0013864704184917698,0.7
Dendritic cells,CHP,alignment_score,3,3,-0.014215618672778143,-0.01263491636460455,-0.001580702308173594,0.7
Neutrophils,COL6A1,alignment_score,3,3,0.003903278438408323,0.005951573886219026,-0.002048295447810703,1.0
Dendritic cells,CHP,area,3,3,-0.002245845556727376,-0.00010058860198359995,-0.0021452569547437757,1.0
